quantity	injected	recovered	ci_low	ci_high	estimand_truth	estimand_recovered	relative_bias	status	scope_status	scope_reason	ci_contains_injected	predicted_bias_direction	predicted_bias_magnitude	directional_check	near_tier_boundary	reason
core_hr_luma_product_of_marginals_LR	92.6251919795419				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_luma_joint_vs_marginal_inflation_ratio	0.07819894345992705				LR_RATIO			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_lumb_wt_lost_direction_LR	4.480411981797967				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_lumb_gis_score_LR	3.6622471084686548				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_lumb_sbs3_exposure_LR	5.644994542233774				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_lumb_joint_LR	7.243192150573085				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_lumb_product_of_marginals_LR	92.6251919795419				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_lumb_joint_vs_marginal_inflation_ratio	0.07819894345992705				LR_RATIO			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_her2e_wt_lost_direction_LR	4.480411981797967				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_her2e_gis_score_LR	3.6622471084686548				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_her2e_sbs3_exposure_LR	5.644994542233774				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_her2e_joint_LR	7.243192150573085				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_her2e_product_of_marginals_LR	92.6251919795419				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_her2e_joint_vs_marginal_inflation_ratio	0.07819894345992705				LR_RATIO			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_basal_wt_lost_direction_LR	3.321335081019411				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_basal_gis_score_LR	0.4332074954284992				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_basal_sbs3_exposure_LR	2.8248677192604763				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_basal_joint_LR	1.437375123556624				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_basal_product_of_marginals_LR	4.064496657561494				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_basal_joint_vs_marginal_inflation_ratio	0.35364160550669044				LR_RATIO			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_normal_like_wt_lost_direction_LR	4.480411981797967				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_normal_like_gis_score_LR	3.6622471084686548				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_normal_like_sbs3_exposure_LR	5.644994542233774				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_normal_like_joint_LR	7.243192150573085				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_normal_like_product_of_marginals_LR	92.6251919795419				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_normal_like_joint_vs_marginal_inflation_ratio	0.07819894345992705				LR_RATIO			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_wt_lost_direction_LR	2.0841779761089585				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_gis_score_LR	2.080863549253663				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_sbs3_exposure_LR	3.6724061219105266				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_joint_LR	5.154487467493152	4.655099019128405	4.144367179925987	5.301606016952504	LR	LR	0.096884	SIMULATED_PASS	IN_SCOPE	newly reachable under PROPOSED_PROTOCOL_AMENDMENT.md's estimator (REACHABILITY_TABLE.tsv: NEWLY_REACHABLE) -- recovered by this production_v2 run as the PAM50-prevalence-weighted mixture estimand (matching SIMULATED_TRUTH.tsv's own pooled-quantity definition), CV-selected lambda, B=2000.	True	down	0.096884	PASS	REALIZED_DOWNGRADE	
ddr_signaling_product_of_marginals_LR	15.926821314963586				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_joint_vs_marginal_inflation_ratio	0.3236356687602442				LR_RATIO			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_luma_wt_lost_direction_LR	2.137348544853484				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_luma_gis_score_LR	2.7235909709691692				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
ddr_signaling_luma_sbs3_exposure_LR	3.9157230519927206				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
