sample_id	gene	gene_group	pam50_subtype	purity	ploidy	wgd	normal_depth	purity_bin	depth_regime	gis_score
SIM-00032	RAD51C	CORE_HR	LumA	0.2845	4.9554	True	39	LOW	LOW	59.3678
SIM-00033	RAD51B	CORE_HR	LumA	0.3371	2.8131	True	47	LOW	LOW	49.3887
SIM-00034	RAD51C	CORE_HR	LumA	0.3302	4.8037	True	39	LOW	LOW	50.3842
SIM-00035	RAD51C	CORE_HR	LumA	0.1629	3.3565	True	50	LOW	LOW	28.7669
SIM-00036	BARD1	CORE_HR	LumB	0.1794	5.2907	False	42	LOW	LOW	54.9431
SIM-00037	BRIP1	CORE_HR	LumA	0.3424	3.9532	False	46	LOW	LOW	55.0218
SIM-00038	BRCA1	CORE_HR	LumA	0.1087	1.8458	True	45	LOW	LOW	28.5168
SIM-00039	RAD51C	CORE_HR	HER2E	0.2989	4.1665	False	21	LOW	LOW	50.4651
SIM-00040	BRIP1	CORE_HR	LumA	0.2848	4.8658	False	56	LOW	LOW	64.0158
SIM-00041	BRIP1	CORE_HR	LumB	0.1303	2.9687	True	32	LOW	LOW	54.1162
SIM-00042	BRCA1	CORE_HR	LumB	0.1593	3.311	False	43	LOW	LOW	30.5612
SIM-00043	PALB2	CORE_HR	LumA	0.1133	3.1371	False	33	LOW	LOW	54.3265
SIM-00044	PALB2	CORE_HR	LumB	0.1973	4.7557	True	34	LOW	LOW	66.3869
SIM-00045	BRCA2	CORE_HR	LumB	0.2843	1.9688	False	40	LOW	LOW	71.7664
SIM-00046	PALB2	CORE_HR	Basal	0.2351	4.3474	False	44	LOW	LOW	76.7884
SIM-00047	RAD51D	CORE_HR	LumA	0.1824	5.4844	False	29	LOW	LOW	58.1438
SIM-00048	BRCA2	CORE_HR	Normal-like	0.1373	4.896	False	46	LOW	LOW	39.3201
SIM-00049	BRCA2	CORE_HR	LumB	0.143	3.5526	False	36	LOW	LOW	66.0334
SIM-00050	RAD54L	CORE_HR	LumA	0.1521	2.0904	True	28	LOW	LOW	45.6984
SIM-00051	BRIP1	CORE_HR	LumA	0.3388	3.2963	False	42	LOW	LOW	50.9965
SIM-00052	RAD51D	CORE_HR	LumA	0.2027	2.9704	True	33	LOW	LOW	56.8111
SIM-00053	RAD51B	CORE_HR	LumA	0.166	3.7828	False	42	LOW	LOW	21.6519
SIM-00054	PALB2	CORE_HR	LumA	0.3414	4.3905	False	30	LOW	LOW	64.247
SIM-00055	BRIP1	CORE_HR	LumA	0.3479	4.6168	False	32	LOW	LOW	62.3684
SIM-00056	RAD51D	CORE_HR	LumB	0.21	3.0274	True	50	LOW	LOW	53.2439
SIM-00057	BRIP1	CORE_HR	Basal	0.2106	1.9791	True	36	LOW	LOW	65.8873
SIM-00058	RAD54L	CORE_HR	Basal	0.1858	3.7992	True	28	LOW	LOW	65.1462
SIM-00059	RAD51D	CORE_HR	LumA	0.3139	3.556	False	31	LOW	LOW	42.0602
SIM-00060	RAD51C	CORE_HR	LumA	0.1535	5.0998	False	31	LOW	LOW	59.8377
SIM-00061	BRCA2	CORE_HR	LumA	0.2246	2.187	False	25	LOW	LOW	68.9937
SIM-00062	BRIP1	CORE_HR	LumA	0.1362	1.8617	False	44	LOW	LOW	45.9573
SIM-00063	RAD51D	CORE_HR	Basal	0.228	1.7768	False	40	LOW	LOW	68.6864
SIM-00064	PALB2	CORE_HR	Basal	0.1044	1.7711	False	44	LOW	LOW	45.0686
SIM-00065	RAD54L	CORE_HR	LumB	0.2406	1.5784	False	30	LOW	LOW	36.8598
SIM-00066	RAD51B	CORE_HR	Basal	0.3362	2.7107	False	33	LOW	LOW	66.8931
SIM-00067	PALB2	CORE_HR	LumA	0.2969	4.3024	True	35	LOW	LOW	43.5216
SIM-00068	PALB2	CORE_HR	LumA	0.3398	1.6524	False	34	LOW	LOW	28.0082
SIM-00069	PALB2	CORE_HR	LumB	0.243	3.1498	False	35	LOW	LOW	47.7365
SIM-00070	BRIP1	CORE_HR	Basal	0.1449	4.3768	False	52	LOW	LOW	47.9357
SIM-00071	RAD51D	CORE_HR	Basal	0.1474	2.0436	False	43	LOW	LOW	64.3701
SIM-00072	RAD51C	CORE_HR	LumB	0.144	4.2774	True	41	LOW	LOW	52.449
SIM-00073	RAD54L	CORE_HR	LumB	0.1779	4.3583	False	38	LOW	LOW	39.6554
SIM-00074	RAD54L	CORE_HR	LumA	0.2238	2.7701	False	48	LOW	LOW	78.69
SIM-00075	RAD54L	CORE_HR	Basal	0.1109	4.425	False	43	LOW	LOW	45.9475
SIM-00076	PALB2	CORE_HR	LumA	0.2146	1.7758	False	36	LOW	LOW	34.1781
SIM-00077	BARD1	CORE_HR	LumA	0.1256	3.3741	False	38	LOW	LOW	14.0691
SIM-00078	PALB2	CORE_HR	LumA	0.2468	3.8574	False	57	LOW	LOW	50.151
SIM-00079	BRCA2	CORE_HR	LumA	0.2285	4.3237	False	42	LOW	LOW	46.4512
SIM-00080	BRCA2	CORE_HR	LumA	0.1983	2.5389	False	44	LOW	LOW	61.6792
SIM-00081	BRIP1	CORE_HR	LumA	0.1559	4.714	True	22	LOW	LOW	61.8675
SIM-00082	RAD51C	CORE_HR	Basal	0.321	3.0106	False	28	LOW	LOW	48.7564
SIM-00083	BRCA1	CORE_HR	Basal	0.3143	2.9688	True	36	LOW	LOW	61.8575
SIM-00084	BRCA1	CORE_HR	LumA	0.1114	5.1432	False	32	LOW	LOW	59.4467
SIM-00085	RAD54L	CORE_HR	LumB	0.1278	2.1347	False	36	LOW	LOW	16.9007
SIM-00086	RAD51D	CORE_HR	LumA	0.2562	4.5519	False	45	LOW	LOW	86.9241
SIM-00087	BARD1	CORE_HR	LumA	0.3495	1.808	False	33	LOW	LOW	46.2338
SIM-00088	RAD51C	CORE_HR	HER2E	0.3347	3.8572	False	42	LOW	LOW	65.4191
SIM-00089	BRCA2	CORE_HR	LumA	0.2565	2.4628	True	45	LOW	LOW	52.0018
SIM-00090	RAD51C	CORE_HR	HER2E	0.1863	4.7634	False	34	LOW	LOW	73.2582
SIM-00091	PALB2	CORE_HR	LumA	0.1242	4.2881	False	39	LOW	LOW	47.4666
SIM-00092	RAD51C	CORE_HR	Basal	0.3308	4.3685	True	45	LOW	LOW	80.0985
SIM-00093	RAD51C	CORE_HR	LumB	0.1452	2.0994	False	46	LOW	LOW	78.4048
SIM-00094	BARD1	CORE_HR	Basal	0.2067	2.5531	False	62	LOW	LOW	34.2125
SIM-00095	RAD51C	CORE_HR	LumB	0.3228	5.2958	True	29	LOW	LOW	63.0518
SIM-00096	BARD1	CORE_HR	LumA	0.3432	4.4113	True	28	LOW	LOW	23.1719
SIM-00097	RAD54L	CORE_HR	LumA	0.1193	3.8668	False	44	LOW	LOW	56.2266
SIM-00098	BRCA2	CORE_HR	Basal	0.3108	2.264	False	50	LOW	LOW	60.7777
SIM-00099	RAD51C	CORE_HR	LumA	0.2234	3.2006	False	41	LOW	LOW	53.9049
SIM-00100	BRCA2	CORE_HR	HER2E	0.1949	4.3558	False	42	LOW	LOW	57.4928
SIM-00101	PALB2	CORE_HR	Basal	0.2812	2.0572	False	48	LOW	LOW	82.0796
SIM-00102	BRIP1	CORE_HR	Basal	0.291	4.9224	False	33	LOW	LOW	74.9322
SIM-00103	RAD51C	CORE_HR	LumA	0.1171	1.6943	True	55	LOW	LOW	52.7635
SIM-00104	RAD51B	CORE_HR	Basal	0.2056	4.2653	False	40	LOW	LOW	70.3137
SIM-00105	RAD51D	CORE_HR	LumA	0.2098	2.2088	False	37	LOW	LOW	73.1538
SIM-00106	RAD54L	CORE_HR	LumB	0.1738	3.0972	False	40	LOW	LOW	19.8791
SIM-00107	PALB2	CORE_HR	LumA	0.1925	4.7295	True	55	LOW	LOW	37.7521
SIM-00108	BARD1	CORE_HR	Basal	0.1174	4.5884	True	46	LOW	LOW	77.3877
SIM-00109	RAD54L	CORE_HR	LumA	0.3067	2.5141	True	40	LOW	LOW	60.4818
SIM-00110	RAD51B	CORE_HR	LumA	0.2547	4.1795	False	46	LOW	LOW	64.9405
SIM-00111	RAD51C	CORE_HR	Basal	0.3209	1.6028	True	48	LOW	LOW	60.7658
SIM-00112	BRCA2	CORE_HR	LumA	0.3065	5.0134	False	37	LOW	LOW	59.0592
SIM-00113	RAD51D	CORE_HR	Basal	0.1342	5.0436	False	41	LOW	LOW	95.1826
SIM-00114	BRCA2	CORE_HR	LumA	0.2176	2.9318	False	51	LOW	LOW	42.408
SIM-00115	RAD54L	CORE_HR	Basal	0.2203	1.6193	True	39	LOW	LOW	40.486
SIM-00116	RAD51B	CORE_HR	Basal	0.1406	3.7073	True	42	LOW	LOW	69.0746
SIM-00117	RAD54L	CORE_HR	Basal	0.142	3.05	False	36	LOW	LOW	63.2111
SIM-00118	PALB2	CORE_HR	LumA	0.1456	4.1751	True	40	LOW	LOW	55.0015
SIM-00119	RAD51B	CORE_HR	Normal-like	0.3362	1.699	False	43	LOW	LOW	29.1856
SIM-00120	BRCA2	CORE_HR	LumA	0.2667	4.7779	True	37	LOW	LOW	57.3891
SIM-00121	PALB2	CORE_HR	Basal	0.1828	3.3211	False	49	LOW	LOW	81.3326
SIM-00122	BRIP1	CORE_HR	LumB	0.3276	3.166	True	45	LOW	LOW	39.3452
SIM-00123	BRIP1	CORE_HR	Basal	0.3015	3.5039	True	44	LOW	LOW	55.7165
SIM-00124	BRIP1	CORE_HR	LumA	0.3282	2.8563	False	32	LOW	LOW	53.086
SIM-00125	PALB2	CORE_HR	LumA	0.2612	3.8307	False	53	LOW	LOW	39.4665
SIM-00126	RAD51D	CORE_HR	LumA	0.1788	4.1057	False	40	LOW	LOW	26.7287
SIM-00127	BRCA1	CORE_HR	LumB	0.3062	1.6655	False	40	LOW	LOW	33.785
SIM-00128	BRCA1	CORE_HR	HER2E	0.1295	4.7487	False	38	LOW	LOW	45.5468
SIM-00129	PALB2	CORE_HR	LumA	0.2737	2.0563	False	43	LOW	LOW	27.1189
SIM-00130	RAD51D	CORE_HR	Normal-like	0.1485	5.0255	False	37	LOW	LOW	63.7514
SIM-00131	RAD51D	CORE_HR	Basal	0.1474	1.736	True	42	LOW	LOW	56.7139
SIM-00132	RAD51B	CORE_HR	LumA	0.2609	4.8133	False	57	LOW	LOW	75.9979
SIM-00133	RAD51D	CORE_HR	LumB	0.1995	2.9209	False	33	LOW	LOW	17.3001
SIM-00134	RAD51B	CORE_HR	Basal	0.169	5.0851	True	45	LOW	LOW	64.7746
SIM-00135	RAD51B	CORE_HR	LumA	0.1525	5.1575	True	36	LOW	LOW	28.7612
SIM-00136	BRCA1	CORE_HR	LumA	0.1597	4.7353	True	48	LOW	LOW	33.1108
SIM-00137	RAD51C	CORE_HR	LumB	0.1675	4.7378	False	36	LOW	LOW	64.4427
SIM-00138	RAD51C	CORE_HR	LumA	0.3452	5.0848	True	48	LOW	LOW	69.7359
SIM-00139	BARD1	CORE_HR	LumB	0.1632	5.2302	True	39	LOW	LOW	36.0968
SIM-00140	BRIP1	CORE_HR	LumB	0.2804	5.2115	False	41	LOW	LOW	24.7159
SIM-00141	BRIP1	CORE_HR	LumA	0.243	1.8861	False	36	LOW	LOW	53.7686
SIM-00142	BARD1	CORE_HR	HER2E	0.3428	3.0038	False	41	LOW	LOW	21.6759
SIM-00143	RAD54L	CORE_HR	Basal	0.2228	1.5929	False	49	LOW	LOW	54.2762
SIM-00144	BARD1	CORE_HR	LumB	0.2663	1.9644	False	34	LOW	LOW	44.2621
SIM-00145	RAD51B	CORE_HR	LumA	0.197	1.7517	False	31	LOW	LOW	50.6637
SIM-00146	PALB2	CORE_HR	LumB	0.2183	4.5482	False	45	LOW	LOW	46.7002
SIM-00147	RAD54L	CORE_HR	LumB	0.1907	1.7826	False	41	LOW	LOW	70.7301
SIM-00148	RAD54L	CORE_HR	LumB	0.1537	4.3986	False	51	LOW	LOW	53.0958
SIM-00149	BRIP1	CORE_HR	LumA	0.1219	4.3898	False	40	LOW	LOW	37.93
SIM-00150	RAD51C	CORE_HR	LumA	0.1559	5.3173	True	38	LOW	LOW	51.3162
SIM-00151	RAD54L	CORE_HR	LumB	0.1159	4.5848	False	48	LOW	LOW	48.7352
SIM-00152	RAD51B	CORE_HR	HER2E	0.1114	2.0466	False	39	LOW	LOW	69.7505
SIM-00153	RAD51D	CORE_HR	Basal	0.1928	4.4168	False	36	LOW	LOW	54.983
SIM-00154	PALB2	CORE_HR	LumA	0.1523	2.6774	False	41	LOW	LOW	52.101
SIM-00155	BRCA1	CORE_HR	Basal	0.18	2.0546	True	58	LOW	LOW	79.8887
SIM-00156	BRIP1	CORE_HR	LumA	0.2132	3.995	True	46	LOW	LOW	56.165
SIM-00157	RAD51C	CORE_HR	LumA	0.1565	2.3463	False	50	LOW	LOW	26.4781
SIM-00158	RAD51D	CORE_HR	Basal	0.2375	3.7047	False	37	LOW	LOW	50.6285
SIM-00159	RAD51D	CORE_HR	HER2E	0.1126	4.475	False	39	LOW	LOW	64.93
SIM-00160	BRCA2	CORE_HR	Basal	0.1047	3.1237	True	43	LOW	LOW	72.3548
SIM-00161	BRCA2	CORE_HR	LumA	0.1106	2.0974	False	40	LOW	LOW	39.4682
SIM-00162	BRCA1	CORE_HR	LumB	0.2215	3.3049	True	44	LOW	LOW	60.6545
SIM-00163	BRIP1	CORE_HR	Basal	0.3359	5.494	False	39	LOW	LOW	55.3581
SIM-00164	RAD51B	CORE_HR	LumA	0.2192	1.5714	False	36	LOW	LOW	62.1349
SIM-00165	RAD51D	CORE_HR	Basal	0.209	4.5014	True	41	LOW	LOW	54.0615
SIM-00166	PALB2	CORE_HR	LumB	0.2886	4.9343	False	46	LOW	LOW	39.5192
SIM-00167	BARD1	CORE_HR	LumB	0.3156	2.4783	True	31	LOW	LOW	44.1419
SIM-00168	BRCA2	CORE_HR	LumA	0.123	4.9253	False	31	LOW	LOW	22.6315
SIM-00169	RAD51D	CORE_HR	LumB	0.1831	4.4895	False	34	LOW	LOW	64.2265
SIM-00170	RAD54L	CORE_HR	LumB	0.2384	5.2985	False	46	LOW	LOW	63.5954
SIM-00171	BRCA1	CORE_HR	LumB	0.2166	3.2658	True	52	LOW	LOW	53.4797
SIM-00172	PALB2	CORE_HR	LumA	0.2223	4.6328	False	29	LOW	LOW	60.4264
SIM-00173	BRCA1	CORE_HR	HER2E	0.2215	4.427	False	47	LOW	LOW	43.3096
SIM-00174	BARD1	CORE_HR	LumA	0.1151	5.0721	False	30	LOW	LOW	54.3705
SIM-00175	BRIP1	CORE_HR	LumA	0.2107	5.2117	False	33	LOW	LOW	41.8812
SIM-00176	PALB2	CORE_HR	LumA	0.1591	3.7765	False	27	LOW	LOW	51.32
SIM-00177	BRCA1	CORE_HR	HER2E	0.2778	3.4802	False	33	LOW	LOW	22.0822
SIM-00178	BARD1	CORE_HR	Basal	0.137	5.0258	False	28	LOW	LOW	79.2749
SIM-00179	RAD54L	CORE_HR	LumA	0.1144	4.91	False	38	LOW	LOW	71.5111
SIM-00180	RAD51D	CORE_HR	LumB	0.2086	3.8726	False	35	LOW	LOW	24.4396
SIM-00181	RAD51D	CORE_HR	Basal	0.1576	4.8582	False	44	LOW	LOW	64.0667
SIM-00182	BRIP1	CORE_HR	LumB	0.186	2.8404	True	38	LOW	LOW	49.2421
SIM-00183	PALB2	CORE_HR	LumB	0.183	3.9541	False	50	LOW	LOW	22.0757
SIM-00184	BRIP1	CORE_HR	Basal	0.2095	4.3032	True	28	LOW	LOW	76.0541
SIM-00185	BRIP1	CORE_HR	LumA	0.1809	3.9993	True	38	LOW	LOW	56.2367
SIM-00186	RAD54L	CORE_HR	LumA	0.3477	4.9361	False	32	LOW	LOW	32.4728
SIM-00187	BARD1	CORE_HR	LumB	0.3096	2.6481	True	31	LOW	LOW	28.6935
SIM-00188	RAD51C	CORE_HR	LumA	0.167	3.279	False	43	LOW	LOW	35.4601
SIM-00189	BRIP1	CORE_HR	LumA	0.3244	1.871	False	27	LOW	LOW	67.6688
SIM-00190	RAD54L	CORE_HR	Basal	0.2626	5.1947	False	39	LOW	LOW	38.2034
SIM-00191	BRCA1	CORE_HR	LumA	0.2387	3.7738	True	41	LOW	LOW	34.6232
SIM-00192	RAD54L	CORE_HR	LumB	0.1694	2.7835	False	36	LOW	LOW	48.3455
SIM-00193	PALB2	CORE_HR	LumA	0.1668	3.6528	False	20	LOW	LOW	49.4118
SIM-00194	BRCA2	CORE_HR	HER2E	0.2555	3.0733	False	27	LOW	LOW	31.017
SIM-00195	RAD51C	CORE_HR	LumB	0.235	4.7785	False	34	LOW	LOW	51.8651
SIM-00196	RAD51C	CORE_HR	LumB	0.2923	2.5241	False	38	LOW	LOW	58.3893
SIM-00197	BRIP1	CORE_HR	LumB	0.199	2.9114	False	28	LOW	LOW	38.8092
SIM-00198	PALB2	CORE_HR	Basal	0.2873	3.614	False	23	LOW	LOW	79.2216
SIM-00199	PALB2	CORE_HR	LumB	0.2754	4.1256	False	44	LOW	LOW	69.0797
SIM-00200	RAD51D	CORE_HR	HER2E	0.1476	5.2626	False	54	LOW	LOW	30.2132
SIM-00201	RAD51B	CORE_HR	LumB	0.2033	3.2314	False	47	LOW	MID	63.2692
SIM-00202	BRCA2	CORE_HR	LumA	0.1345	3.9613	False	42	LOW	MID	59.3395
SIM-00203	BRIP1	CORE_HR	HER2E	0.3203	3.6552	True	39	LOW	MID	46.9596
SIM-00204	BARD1	CORE_HR	LumA	0.1002	2.5955	False	46	LOW	MID	68.8794
SIM-00205	BARD1	CORE_HR	LumA	0.1525	3.7458	False	48	LOW	MID	34.6791
SIM-00206	PALB2	CORE_HR	LumA	0.2552	3.614	False	51	LOW	MID	32.7506
SIM-00207	BRIP1	CORE_HR	Basal	0.189	5.2658	False	32	LOW	MID	75.4883
SIM-00208	BRCA1	CORE_HR	LumA	0.3037	2.04	True	53	LOW	MID	31.6378
SIM-00209	BARD1	CORE_HR	Basal	0.2681	3.6497	False	37	LOW	MID	35.0281
SIM-00210	BRCA1	CORE_HR	LumA	0.3153	1.8126	False	43	LOW	MID	56.1518
SIM-00211	BARD1	CORE_HR	LumB	0.1443	4.1946	False	33	LOW	MID	48.5442
SIM-00212	RAD54L	CORE_HR	LumA	0.1211	5.457	False	35	LOW	MID	54.4558
SIM-00213	RAD51C	CORE_HR	LumA	0.2747	3.7241	False	40	LOW	MID	58.136
SIM-00214	BRIP1	CORE_HR	LumA	0.1693	1.724	True	52	LOW	MID	75.1567
SIM-00215	BRCA2	CORE_HR	LumB	0.2837	5.0225	False	45	LOW	MID	61.4969
SIM-00216	RAD51C	CORE_HR	LumA	0.1205	3.0067	True	49	LOW	MID	40.7841
SIM-00217	RAD51B	CORE_HR	Basal	0.2707	3.53	True	40	LOW	MID	56.2284
SIM-00218	RAD51D	CORE_HR	LumA	0.1918	2.73	False	48	LOW	MID	55.6245
SIM-00219	RAD51C	CORE_HR	LumB	0.1538	5.1171	False	35	LOW	MID	45.3033
SIM-00220	PALB2	CORE_HR	Basal	0.323	3.6057	False	41	LOW	MID	33.6122
SIM-00221	RAD51C	CORE_HR	LumA	0.2612	2.9874	False	44	LOW	MID	58.951
SIM-00222	RAD51D	CORE_HR	LumA	0.3115	3.8627	False	38	LOW	MID	54.7059
SIM-00223	BRCA2	CORE_HR	LumA	0.3379	2.2303	False	53	LOW	MID	41.0428
SIM-00224	BRCA1	CORE_HR	LumB	0.2033	2.5961	True	38	LOW	MID	55.4878
SIM-00225	BRCA2	CORE_HR	HER2E	0.1643	5.1111	False	52	LOW	MID	49.7294
SIM-00226	BRCA1	CORE_HR	LumA	0.1421	3.3881	False	31	LOW	MID	19.9204
SIM-00227	RAD51C	CORE_HR	LumB	0.1428	2.2126	False	46	LOW	MID	50.1552
SIM-00228	RAD51C	CORE_HR	LumA	0.3387	2.7196	False	42	LOW	MID	46.3212
SIM-00229	BARD1	CORE_HR	LumB	0.2205	2.8786	True	54	LOW	MID	43.0773
SIM-00230	BRIP1	CORE_HR	Basal	0.1333	5.1184	True	31	LOW	MID	61.6352
SIM-00231	BARD1	CORE_HR	LumA	0.299	3.4431	False	53	LOW	MID	63.2674
SIM-00232	RAD54L	CORE_HR	LumB	0.3336	4.0085	False	42	LOW	MID	27.9568
SIM-00233	RAD51D	CORE_HR	HER2E	0.3029	2.117	False	48	LOW	MID	70.4852
SIM-00234	RAD51B	CORE_HR	LumA	0.1092	3.0156	False	41	LOW	MID	59.1778
SIM-00235	RAD51B	CORE_HR	LumA	0.1666	4.3848	True	43	LOW	MID	42.065
SIM-00236	BRCA1	CORE_HR	LumB	0.3248	2.7256	False	42	LOW	MID	52.8031
SIM-00237	RAD54L	CORE_HR	Basal	0.128	4.4689	False	40	LOW	MID	61.7215
SIM-00238	RAD51C	CORE_HR	Basal	0.2601	2.1092	False	37	LOW	MID	55.8407
SIM-00239	PALB2	CORE_HR	LumA	0.2009	4.1478	True	24	LOW	MID	75.0893
SIM-00240	BRIP1	CORE_HR	LumA	0.2157	5.4613	False	40	LOW	MID	28.0189
SIM-00241	BARD1	CORE_HR	LumA	0.2468	2.0375	True	38	LOW	MID	60.0273
SIM-00242	BRIP1	CORE_HR	LumA	0.2995	3.1936	True	37	LOW	MID	48.4916
SIM-00243	BRIP1	CORE_HR	Basal	0.1428	3.0351	False	28	LOW	MID	73.2321
SIM-00244	BRIP1	CORE_HR	Basal	0.124	4.9994	True	31	LOW	MID	74.8843
SIM-00245	BRIP1	CORE_HR	LumB	0.247	4.3674	False	42	LOW	MID	31.2942
SIM-00246	BRIP1	CORE_HR	Basal	0.2373	4.732	True	43	LOW	MID	46.4051
SIM-00247	BRCA1	CORE_HR	LumA	0.2357	3.0682	True	41	LOW	MID	66.4548
SIM-00248	RAD54L	CORE_HR	LumA	0.2439	4.5433	False	44	LOW	MID	60.3992
SIM-00249	RAD51B	CORE_HR	HER2E	0.3493	3.5811	False	36	LOW	MID	60.3743
SIM-00250	RAD51B	CORE_HR	LumA	0.1223	1.5292	True	45	LOW	MID	48.567
SIM-00251	BARD1	CORE_HR	LumA	0.3105	4.7587	False	39	LOW	MID	37.757
SIM-00252	BRCA2	CORE_HR	LumA	0.2312	4.1292	True	37	LOW	MID	61.5049
SIM-00253	BRCA2	CORE_HR	LumA	0.1731	3.3139	False	30	LOW	MID	44.9476
SIM-00254	BRCA2	CORE_HR	Basal	0.3303	2.1159	False	31	LOW	MID	57.913
SIM-00255	RAD51D	CORE_HR	LumA	0.2041	4.3082	False	35	LOW	MID	62.1001
SIM-00256	RAD51B	CORE_HR	LumA	0.1359	3.5335	True	38	LOW	MID	6.6335
SIM-00257	BRCA1	CORE_HR	LumB	0.3001	4.8991	True	55	LOW	MID	45.9322
SIM-00258	BRIP1	CORE_HR	LumA	0.252	4.3738	True	41	LOW	MID	18.8735
SIM-00259	RAD51B	CORE_HR	LumA	0.1149	5.2961	True	50	LOW	MID	48.1041
SIM-00260	RAD51D	CORE_HR	LumB	0.343	5.1226	False	41	LOW	MID	31.7451
SIM-00261	BRIP1	CORE_HR	LumA	0.3418	2.6584	False	41	LOW	MID	41.117
SIM-00262	RAD54L	CORE_HR	HER2E	0.2681	3.8616	False	35	LOW	MID	67.2625
SIM-00263	BRCA2	CORE_HR	HER2E	0.1772	4.2251	True	44	LOW	MID	58.7147
SIM-00264	RAD51D	CORE_HR	LumA	0.3094	2.0327	False	36	LOW	MID	47.5575
SIM-00265	BRCA1	CORE_HR	LumA	0.3286	4.1789	False	50	LOW	MID	58.5862
SIM-00266	BARD1	CORE_HR	LumA	0.1973	2.7612	True	34	LOW	MID	18.9357
SIM-00267	BRCA1	CORE_HR	LumA	0.2168	2.4049	True	51	LOW	MID	35.5008
SIM-00268	PALB2	CORE_HR	LumB	0.1309	3.5159	False	40	LOW	MID	44.4885
SIM-00269	BRIP1	CORE_HR	LumA	0.2327	3.7882	False	29	LOW	MID	34.6996
SIM-00270	PALB2	CORE_HR	LumA	0.136	5.2645	False	34	LOW	MID	70.4401
SIM-00271	BARD1	CORE_HR	LumA	0.1686	1.6203	False	41	LOW	MID	39.1895
SIM-00272	BRCA2	CORE_HR	LumA	0.1879	4.8681	True	32	LOW	MID	51.5998
SIM-00273	BRCA1	CORE_HR	LumA	0.3245	4.6818	True	31	LOW	MID	50.3906
SIM-00274	BRCA1	CORE_HR	LumA	0.2367	3.7731	False	41	LOW	MID	49.3618
SIM-00275	BRIP1	CORE_HR	LumB	0.1008	4.9806	True	24	LOW	MID	48.8057
SIM-00276	BRCA1	CORE_HR	Basal	0.1301	1.7096	True	30	LOW	MID	70.7498
