sample_id,bin_label,total_mutations,true,sigma_recovered,spa_recovered
SIM-03040,"[55,65)",57,0.2954,0.19865952280495702,0.0
SIM-03044,"[15,25)",20,0.0,0.110006532831837,0.0
SIM-03068,"[45,55)",48,0.0,0.267346573055883,0.0
SIM-03080,"[15,25)",18,0.0,0.0,0.0
SIM-03084,"[55,65)",62,0.0744,0.0523939943024112,0.0
SIM-03116,"[65,75)",68,0.0603,0.083365869626451,0.0
SIM-03120,"[55,65)",61,0.2126,0.3094156937744,0.0
SIM-03139,"[25,35)",34,0.0823,0.0,0.0
SIM-03160,"[75,85)",76,0.0,0.172250244020642,0.0
SIM-03217,"[75,85)",78,0.0524,0.284171506303079,0.0
SIM-03291,"[95,105)",95,0.0088,0.143369875238713,0.0
SIM-03341,"[45,55)",48,0.0,0.0,0.0
SIM-03357,"[15,25)",17,0.0549,0.0,0.0
SIM-03376,"[5,15)",12,0.0,0.0,0.0
SIM-03377,"[65,75)",71,0.279,0.20058709268988298,0.0
SIM-03416,"[65,75)",67,0.1477,0.20767781643806799,0.0
SIM-03426,"[105,116)",106,0.0,0.0,0.0
SIM-03441,"[75,85)",83,0.0,0.33088278185653797,0.0
SIM-03446,"[85,95)",89,0.16,0.110123453477575,0.0
SIM-03453,"[75,85)",83,0.0182,0.0862575495620717,0.0
SIM-03479,"[55,65)",60,0.2167,0.309375647220903,0.0
SIM-03546,"[5,15)",13,0.0382,0.0375567316945186,0.0
SIM-03587,"[95,105)",99,0.2361,0.40383288869915196,0.0
SIM-03644,"[25,35)",27,0.1362,0.0,0.0
SIM-03649,"[5,15)",12,0.0,0.0669515271683346,0.0
SIM-03667,"[55,65)",57,0.1204,0.28620455283692303,0.0
SIM-03682,"[105,116)",111,0.0584,0.294949122491869,0.0
SIM-03692,"[75,85)",79,0.012,0.0,0.0
SIM-03728,"[25,35)",34,0.1381,0.08621255659882379,0.0
SIM-03743,"[45,55)",51,0.3522,0.285864804999637,0.0
SIM-03830,"[45,55)",47,0.1845,0.0,0.0
SIM-03834,"[45,55)",54,0.131,0.140724094414996,0.0
SIM-03859,"[95,105)",98,0.0903,0.412779845936485,0.0
SIM-03889,"[35,45)",36,0.1136,0.177709604766784,0.0
SIM-03907,"[25,35)",27,0.1946,0.0,0.0
SIM-03919,"[95,105)",97,0.3024,0.0870291884697631,0.0
SIM-03935,"[55,65)",55,0.1066,0.18370902729144198,0.0
SIM-03943,"[55,65)",59,0.0483,0.0,0.0
SIM-03961,"[15,25)",22,0.0117,0.113342854090969,0.0
SIM-03979,"[105,116)",109,0.0,0.324369218220333,0.0
SIM-04037,"[75,85)",84,0.0558,0.150953640759935,0.0
SIM-04044,"[35,45)",40,0.3376,0.111977505424221,0.0
SIM-04050,"[65,75)",71,0.3447,0.382632898372589,0.0
SIM-04080,"[75,85)",78,0.202,0.325956144086717,0.0
SIM-04081,"[85,95)",85,0.2926,0.43415180348811705,0.0
SIM-04126,"[15,25)",23,0.1972,0.0,0.0
SIM-04188,"[45,55)",47,0.1971,0.22028945068128,0.0
SIM-04195,"[45,55)",50,0.0,0.0,0.0
SIM-04196,"[65,75)",69,0.0819,0.134258796418671,0.0
SIM-04207,"[85,95)",89,0.2356,0.448172935954232,0.0
SIM-04276,"[15,25)",24,0.2684,0.0,0.0
SIM-04323,"[75,85)",76,0.3926,0.334939972898775,0.0
SIM-04362,"[35,45)",43,0.0487,0.19296555419632,0.0
SIM-04365,"[105,116)",105,0.2316,0.196149530886096,0.0
SIM-04384,"[85,95)",93,0.2644,0.544488000693937,0.516129
SIM-04418,"[95,105)",97,0.0,0.37094539510782,0.0
SIM-04468,"[65,75)",67,0.0847,0.164331522462125,0.0
SIM-04472,"[55,65)",55,0.124,0.15840541342113,0.0
SIM-04479,"[65,75)",67,0.1622,0.37871892471715496,0.0
SIM-04506,"[75,85)",77,0.2077,0.159398632897643,0.0
SIM-04518,"[55,65)",61,0.3704,0.20780781848301502,0.0
SIM-04535,"[25,35)",30,0.1897,0.175239377558557,0.566667
SIM-04569,"[65,75)",67,0.0105,0.256686108370626,0.0
SIM-04574,"[35,45)",43,0.0178,0.0,0.0
SIM-04636,"[95,105)",95,0.3106,0.456619812778206,0.515789
SIM-04697,"[65,75)",65,0.1421,0.18380135035616,0.0
SIM-04716,"[55,65)",60,0.1181,0.394346195966965,0.0
SIM-04721,"[65,75)",67,0.2099,0.126067313700374,0.0
SIM-04771,"[75,85)",75,0.1928,0.279976029078567,0.0
SIM-04838,"[55,65)",61,0.2024,0.368566990675319,0.0
SIM-04846,"[15,25)",23,0.1454,0.113239588578544,0.0
SIM-04859,"[55,65)",58,0.2737,0.0,0.0
SIM-04904,"[15,25)",23,0.293,0.032007859771755805,0.0
SIM-04930,"[15,25)",24,0.2104,0.01792267332113,0.0
SIM-04958,"[65,75)",65,0.2721,0.299932932292709,0.584615
SIM-05016,"[95,105)",103,0.3241,0.41960761905915,0.0
SIM-05057,"[85,95)",91,0.3262,0.390587735313076,0.0
SIM-05105,"[15,25)",22,0.1302,0.0532622463366622,0.0
SIM-05109,"[15,25)",22,0.4978,0.042944529438159795,0.0
SIM-05120,"[95,105)",99,0.4085,0.45940451732176496,0.0
SIM-05183,"[85,95)",85,0.0,0.08652437704228029,0.0
SIM-05184,"[15,25)",18,0.0513,0.0453438080920843,0.0
SIM-05187,"[95,105)",97,0.1108,0.33158168137788996,0.0
SIM-05217,"[25,35)",27,0.0009,0.0,0.0
SIM-05225,"[95,105)",98,0.1939,0.279132526319191,0.0
SIM-05247,"[55,65)",56,0.1117,0.163315112150301,0.0
SIM-05276,"[25,35)",34,0.137,0.171975032116456,0.0
SIM-05287,"[85,95)",89,0.1527,0.486464118316369,0.0
SIM-05292,"[35,45)",35,0.1019,0.0405551799595241,0.0
SIM-05316,"[35,45)",43,0.0024,0.16350858003858398,0.0
SIM-05340,"[85,95)",88,0.149,0.41049951446684096,0.0
SIM-05344,"[35,45)",40,0.3457,0.177397646717319,0.0
SIM-05410,"[45,55)",51,0.1631,0.221002576700853,0.0
SIM-05411,"[25,35)",27,0.2012,0.144717676437421,0.0
SIM-05425,"[75,85)",77,0.0,0.0871850852644657,0.0
SIM-05475,"[15,25)",18,0.2793,0.058773927695386405,0.0
SIM-05573,"[15,25)",17,0.0459,0.0352927467503797,0.0
SIM-05687,"[85,95)",90,0.0826,0.136423988497462,0.0
SIM-05710,"[55,65)",62,0.0,0.131493656420868,0.0
SIM-05713,"[75,85)",78,0.0,0.0,0.0
SIM-05740,"[25,35)",34,0.2492,0.0,0.0
SIM-05747,"[75,85)",77,0.4576,0.278741134102808,0.0
SIM-05822,"[15,25)",23,0.1672,0.09755794260927461,0.0
SIM-05824,"[15,25)",24,0.1724,0.0187147421555075,0.0
SIM-05854,"[25,35)",34,0.0348,0.0,0.0
SIM-05874,"[55,65)",59,0.1854,0.0955149179145449,0.0
SIM-05880,"[25,35)",27,0.0062,0.0,0.0
SIM-05882,"[95,105)",101,0.0,0.308526667755485,0.0
SIM-05883,"[45,55)",47,0.0743,0.142084046080885,0.0
SIM-05891,"[105,116)",106,0.0953,0.0,0.0
SIM-05895,"[75,85)",76,0.1126,0.222071122666336,0.0
SIM-05928,"[15,25)",15,0.1101,0.0,0.0
SIM-05979,"[75,85)",79,0.006,0.0,0.0
SIM-06016,"[55,65)",57,0.1669,0.270523364484766,0.0
SIM-06071,"[95,105)",98,0.124,0.16100329854078999,0.0
SIM-06077,"[85,95)",85,0.0694,0.13899126006849602,0.0
SIM-06083,"[45,55)",52,0.1008,0.16809845675580298,0.0
SIM-06115,"[25,35)",33,0.0,0.0755154293084166,0.0
SIM-06167,"[65,75)",67,0.0241,0.21785606480836703,0.0
SIM-06168,"[35,45)",41,0.1237,0.19687183488669302,0.0
SIM-06192,"[55,65)",60,0.1595,0.386868817498642,0.0
SIM-06226,"[5,15)",5,0.1975,0.0385680656475375,0.0
SIM-06257,"[85,95)",91,0.082,0.385431437674168,0.0
SIM-06305,"[55,65)",55,0.0085,0.0,0.0
SIM-06322,"[65,75)",67,0.0613,0.12546070570922999,0.0
SIM-06338,"[95,105)",96,0.0314,0.105272089038521,0.0
SIM-06355,"[45,55)",50,0.0321,0.0,0.0
SIM-06367,"[25,35)",32,0.0,0.11730803920514299,0.0
SIM-06373,"[45,55)",51,0.0004,0.06709971434058941,0.0
SIM-06398,"[75,85)",83,0.2246,0.37850457005871596,0.0
SIM-06425,"[65,75)",69,0.0254,0.0,0.0
SIM-06443,"[95,105)",101,0.0499,0.105678812710625,0.0
SIM-06460,"[85,95)",90,0.2989,0.295355381578268,0.444444
SIM-06482,"[25,35)",32,0.0767,0.12839431386335598,0.0
SIM-06524,"[105,116)",106,0.0,0.0,0.0
SIM-06529,"[55,65)",56,0.0,0.133728572966394,0.0
SIM-06575,"[45,55)",49,0.2048,0.0,0.0
SIM-06713,"[95,105)",95,0.0,0.0,0.0
SIM-06731,"[65,75)",72,0.0,0.36291223770138203,0.0
SIM-06735,"[75,85)",80,0.0,0.29098664646531597,0.0
SIM-06802,"[45,55)",45,0.0433,0.0,0.0
SIM-06840,"[75,85)",79,0.1998,0.40987004780495395,0.0
SIM-06850,"[105,116)",112,0.031,0.201849481732588,0.0
SIM-06856,"[65,75)",70,0.0412,0.0140165196646921,0.0
SIM-06871,"[5,15)",13,0.0,0.0,0.0
SIM-06884,"[15,25)",16,0.3829,0.0,0.0
SIM-06926,"[65,75)",72,0.2741,0.266330243568101,0.0
SIM-06945,"[85,95)",92,0.1809,0.174485966601328,0.0
SIM-06956,"[25,35)",33,0.2299,0.07762891679991761,0.0
SIM-06963,"[95,105)",98,0.0667,0.0,0.0
SIM-06975,"[25,35)",32,0.0,0.10364278569623099,0.0
SIM-06981,"[75,85)",82,0.1177,0.255206175395162,0.0
SIM-07043,"[65,75)",66,0.0,0.0919862331885683,0.0
SIM-07081,"[25,35)",34,0.1947,0.20160814853102899,0.0
SIM-07096,"[65,75)",72,0.1732,0.271648826244089,0.0
SIM-07105,"[25,35)",33,0.3803,0.157059130960396,0.0
SIM-07108,"[65,75)",70,0.0822,0.0,0.0
SIM-07117,"[65,75)",73,0.1088,0.188001299416133,0.0
SIM-07154,"[75,85)",79,0.0178,0.22058016706305,0.0
SIM-07194,"[35,45)",41,0.102,0.182699940160788,0.0
SIM-07197,"[85,95)",86,0.1549,0.0,0.0
SIM-07201,"[25,35)",34,0.286,0.0,0.0
SIM-07206,"[95,105)",97,0.2256,0.52021367314815,0.0
SIM-07208,"[45,55)",49,0.2616,0.176807112798428,0.0
SIM-07255,"[25,35)",31,0.0686,0.028666398420098396,0.0
SIM-07265,"[95,105)",101,0.1536,0.332048861799827,0.0
SIM-07279,"[45,55)",45,0.0288,0.133398367156314,0.0
SIM-07280,"[25,35)",29,0.0211,0.0032931943357228897,0.0
SIM-07295,"[25,35)",27,0.1535,0.0,0.0
SIM-07297,"[85,95)",91,0.1333,0.22353545636688998,0.0
SIM-07364,"[105,116)",111,0.0408,0.33855329213872504,0.0
SIM-07386,"[45,55)",50,0.1424,0.249893851927839,0.0
SIM-07444,"[45,55)",53,0.1181,0.240854976845507,0.471698
SIM-07485,"[75,85)",76,0.0,0.22157794251976998,0.0
SIM-07498,"[35,45)",41,0.0,0.0,0.0
SIM-07506,"[45,55)",46,0.3851,0.15291181370902598,0.0
SIM-07507,"[35,45)",38,0.3022,0.09218686398924421,0.0
SIM-07540,"[15,25)",23,0.1512,0.0643250732854376,0.0
SIM-07541,"[75,85)",76,0.1346,0.213501750320761,0.0
SIM-07561,"[15,25)",24,0.1193,0.0,0.0
SIM-07574,"[45,55)",51,0.1562,0.285372193586111,0.0
SIM-07580,"[55,65)",64,0.2086,0.0,0.0
SIM-07586,"[65,75)",68,0.0408,0.307429312659665,0.0
SIM-07629,"[85,95)",87,0.1895,0.359862255489773,0.0
SIM-07683,"[55,65)",64,0.0,0.16927229533687702,0.0
SIM-07724,"[55,65)",59,0.2716,0.0642344954024566,0.0
SIM-07748,"[95,105)",96,0.2394,0.332016239190702,0.0
SIM-07758,"[65,75)",68,0.0843,0.158097825029137,0.0
SIM-07788,"[45,55)",45,0.0057,0.0,0.0
SIM-07804,"[75,85)",77,0.1179,0.24051003598269902,0.0
SIM-07921,"[65,75)",73,0.1461,0.0,0.0
SIM-08029,"[75,85)",77,0.115,0.273457209342798,0.0
SIM-08057,"[95,105)",98,0.0389,0.0,0.0
SIM-08060,"[85,95)",89,0.0,0.0,0.0
SIM-08113,"[35,45)",35,0.1525,0.185998169789635,0.0
SIM-08195,"[15,25)",24,0.097,0.014816470204530901,0.0
SIM-08205,"[65,75)",73,0.1984,0.178450730499918,0.0
SIM-08217,"[35,45)",39,0.042,0.156555751608126,0.0
SIM-08231,"[45,55)",46,0.2024,0.149887575556403,0.0
SIM-08247,"[35,45)",43,0.1393,0.192231781103212,0.0
SIM-08320,"[65,75)",66,0.0203,0.172722110061638,0.0
SIM-08338,"[85,95)",86,0.2855,0.407430049881508,0.0
SIM-08352,"[95,105)",97,0.0546,0.347089073570406,0.0
SIM-08362,"[95,105)",95,0.0,0.183492041891868,0.0
SIM-08392,"[85,95)",86,0.1986,0.44088720657476105,0.0
SIM-08414,"[85,95)",91,0.1678,0.295361188853491,0.0
SIM-08427,"[75,85)",77,0.0663,0.0208524032786502,0.0
SIM-08434,"[85,95)",85,0.0,0.149390862529551,0.0
SIM-08456,"[25,35)",29,0.1528,0.0,0.0
SIM-08474,"[95,105)",103,0.0425,0.0,0.0
SIM-08518,"[65,75)",68,0.25,0.259981167471128,0.0
SIM-08590,"[35,45)",42,0.0,0.228417800707525,0.0
SIM-08594,"[25,35)",25,0.2526,0.0626599571992439,0.0
SIM-08606,"[85,95)",86,0.1341,0.0,0.0
SIM-08756,"[65,75)",66,0.0129,0.21175615971269898,0.0
SIM-08790,"[65,75)",67,0.156,0.335541643428903,0.0
SIM-08834,"[15,25)",21,0.1883,0.149339722852263,0.0
SIM-08859,"[85,95)",90,0.2684,0.29084816175298,0.0
SIM-08869,"[25,35)",33,0.0496,0.11613466651113401,0.0
SIM-08879,"[85,95)",85,0.1271,0.308178583504879,0.0
SIM-08889,"[75,85)",79,0.1338,0.0,0.0
SIM-08932,"[75,85)",82,0.3158,0.30919172306823,0.512195
SIM-08967,"[35,45)",36,0.3287,0.0769387266876561,0.0
SIM-09016,"[15,25)",24,0.2722,0.0,0.0
SIM-09051,"[25,35)",29,0.3308,0.13080715275242,0.0
SIM-09100,"[55,65)",57,0.1574,0.148122306990105,0.0
SIM-09129,"[85,95)",90,0.0352,0.22236534992926899,0.0
SIM-09131,"[55,65)",63,0.031,0.0,0.0
SIM-09162,"[45,55)",48,0.148,0.0553920106293139,0.0
SIM-09170,"[75,85)",78,0.1215,0.111598801691986,0.0
SIM-09198,"[35,45)",36,0.1675,0.0,0.0
SIM-09265,"[95,105)",97,0.1874,0.332371867843014,0.0
SIM-09295,"[35,45)",42,0.3388,0.12933293849146,0.0
SIM-09310,"[95,105)",99,0.1207,0.180291106671114,0.0
SIM-09381,"[25,35)",32,0.3119,0.146948127827146,0.0
SIM-09461,"[95,105)",98,0.424,0.476110661458911,0.540816
SIM-09467,"[25,35)",32,0.2343,0.0,0.0
SIM-09558,"[55,65)",59,0.3149,0.0,0.0
SIM-09569,"[15,25)",24,0.0782,0.0,0.0
SIM-09573,"[95,105)",96,0.1659,0.23781560681303102,0.0
SIM-09626,"[25,35)",31,0.0224,0.0,0.0
SIM-09642,"[45,55)",54,0.2408,0.0,0.0
SIM-09683,"[35,45)",44,0.2498,0.216584540855024,0.0
SIM-09700,"[55,65)",62,0.074,0.144934585099075,0.0
SIM-09714,"[85,95)",93,0.325,0.437701524906834,0.0
SIM-09722,"[35,45)",40,0.1707,0.24596908524719102,0.0
SIM-09737,"[25,35)",29,0.0057,0.0,0.0
SIM-09756,"[85,95)",90,0.1798,0.5964543820907631,0.5
SIM-09772,"[25,35)",30,0.1151,0.0,0.0
SIM-09781,"[45,55)",54,0.0895,0.218270233081437,0.0
SIM-09870,"[75,85)",76,0.1417,0.252934992151411,0.0
SIM-09883,"[35,45)",44,0.066,0.0950453197492296,0.0
SIM-09931,"[75,85)",78,0.1771,0.210742659257951,0.294872
SIM-09975,"[35,45)",36,0.0186,0.0,0.0
SIM-10004,"[45,55)",54,0.007,0.0,0.0
SIM-10035,"[95,105)",95,0.0919,0.557539535029113,0.0
SIM-10048,"[35,45)",39,0.0779,0.0,0.0
SIM-10088,"[75,85)",81,0.0,0.204156565804525,0.0
SIM-10130,"[35,45)",36,0.0,0.0,0.0
SIM-10159,"[95,105)",95,0.1833,0.231504271172796,0.0
SIM-10178,"[15,25)",21,0.057,0.0,0.0
SIM-10181,"[15,25)",22,0.104,0.0170540450466494,0.0
SIM-10228,"[15,25)",22,0.2449,0.0,0.0
SIM-10243,"[35,45)",42,0.1204,0.032242586634959595,0.0
SIM-10251,"[95,105)",97,0.2799,0.202356710678575,0.0
SIM-10287,"[65,75)",69,0.1836,0.367688422035975,0.0
SIM-10291,"[95,105)",96,0.0075,0.0,0.0
SIM-10309,"[15,25)",22,0.0823,0.0912320571147172,0.0
SIM-10354,"[35,45)",44,0.1795,0.265843804029771,0.0
SIM-10355,"[45,55)",53,0.3459,0.255656556992957,0.0
SIM-10356,"[65,75)",73,0.0,0.118881587988057,0.0
SIM-10376,"[85,95)",92,0.1287,0.314633264629377,0.0
SIM-10410,"[75,85)",75,0.1161,0.26210239387351797,0.0
SIM-10463,"[45,55)",52,0.0,0.0,0.0
SIM-10464,"[85,95)",86,0.0912,0.22321801923185197,0.0
SIM-10477,"[75,85)",81,0.1895,0.0,0.0
SIM-10544,"[85,95)",94,0.148,0.219972017006031,0.0
SIM-10551,"[45,55)",54,0.0921,0.257846925451085,0.0
SIM-10589,"[35,45)",44,0.2356,0.0,0.0
SIM-10597,"[35,45)",39,0.4212,0.259327789073157,0.0
SIM-10601,"[85,95)",93,0.189,0.326762161592396,0.0
SIM-10667,"[105,116)",115,0.155,0.477280241062286,0.0
SIM-10709,"[45,55)",50,0.1592,0.223852922573258,0.0
SIM-10725,"[75,85)",80,0.0,0.171712674501362,0.0
SIM-10770,"[15,25)",17,0.1246,0.0312638485816308,0.0
SIM-10835,"[65,75)",71,0.1959,0.30222517788402803,0.507042
SIM-10973,"[45,55)",50,0.0894,0.23233893250597099,0.0
SIM-10987,"[45,55)",47,0.0,0.165954697818414,0.0
SIM-11021,"[45,55)",54,0.0291,0.137702845400825,0.0
SIM-11046,"[55,65)",56,0.3305,0.267052725919226,0.0
SIM-11067,"[15,25)",21,0.0665,0.09835872186618101,0.0
