Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SIM-00081	38	0.813	36.67	96.5%	4.746	58.419%	0.83492	0.749
SIM-00082	72	0.754	60.569	84.124%	8.438	67.129%	0.68003	0.605
SIM-00083	45	0.746	45.755	101.678%	6.086	66.803%	0.97074	0.639
SIM-00084	53	0.738	46.156	87.087%	6.441	67.52%	0.69015	0.573
SIM-00085	50	0.743	48.303	96.606%	6.527	67.321%	0.88964	0.62
SIM-00086	65	0.747	54.863	84.405%	7.124	67.017%	0.72053	0.539
SIM-00087	61	0.742	53.041	86.952%	6.892	67.259%	0.71047	0.544
SIM-00088	53	0.721	52.1	98.302%	6.871	69.764%	0.86817	0.567
SIM-00089	48	0.666	46.303	96.465%	6.467	75.177%	0.95338	0.44
SIM-00090	47	0.577	55.112	117.26%	6.987	82.92%	1.0636	0.254
SIM-00091	64	0.729	57.066	89.166%	7.176	68.42%	0.67851	0.485
SIM-00092	38	0.602	45.746	120.384%	6.187	79.874%	1.12924	0.388
SIM-00093	74	0.723	65.091	87.961%	8.21	69.387%	0.63292	0.459
SIM-00094	65	0.744	59.139	90.983%	7.587	66.8%	0.69658	0.569
SIM-00095	65	0.687	64.127	98.657%	8.461	72.821%	0.83412	0.472
SIM-00096	75	0.798	58.981	78.641%	7.806	60.77%	0.58299	0.666
SIM-00097	59	0.65	60.345	102.28%	7.79	76.023%	0.85541	0.347
SIM-00098	46	0.671	45.214	98.291%	6.136	74.41%	0.94592	0.444
SIM-00099	84	0.786	65.162	77.574%	8.257	62.239%	0.55952	0.595
SIM-00100	52	0.726	46.499	89.421%	6.226	69.609%	0.80211	0.536
SIM-00101	46	0.736	42.862	93.178%	5.312	68.578%	0.80647	0.542
SIM-00102	56	0.676	59.233	105.773%	8.071	74.937%	0.96612	0.513
SIM-00103	40	0.577	46.704	116.76%	6.226	84.725%	1.17425	0.322
SIM-00104	51	0.713	50.026	98.09%	6.615	70.119%	0.84873	0.541
SIM-00105	79	0.739	64.075	81.108%	8.635	68.053%	0.6074	0.508
SIM-00106	74	0.802	55.676	75.238%	7.182	59.85%	0.54501	0.642
SIM-00107	77	0.701	66.484	86.343%	9.012	71.47%	0.68284	0.422
SIM-00108	61	0.689	58.319	95.605%	8.078	73.436%	0.81768	0.498
SIM-00109	70	0.763	58.068	82.954%	7.655	65.164%	0.69654	0.592
SIM-00110	99	0.78	71.698	72.422%	9.014	62.652%	0.50254	0.484
SIM-00111	31	0.637	36.572	117.974%	4.973	77.665%	1.2555	0.472
SIM-00112	53	0.741	50.359	95.017%	6.778	68.82%	0.86843	0.612
SIM-00113	59	0.713	57.039	96.676%	7.347	71.699%	0.86647	0.528
SIM-00114	49	0.628	54.489	111.202%	6.919	79.894%	1.0502	0.378
SIM-00115	52	0.734	51.02	98.115%	6.659	68.682%	0.83811	0.593
SIM-00116	61	0.712	59.683	97.841%	7.918	70.261%	0.81574	0.54
SIM-00117	53	0.715	46.78	88.264%	6.352	70.578%	0.76817	0.503
SIM-00118	71	0.774	57.007	80.292%	7.78	63.313%	0.66855	0.621
SIM-00119	57	0.768	49.51	86.86%	6.449	64.17%	0.66402	0.619
SIM-00120	67	0.727	59.526	88.845%	8.042	69.733%	0.81433	0.544
SIM-00121	89	0.81	62.949	70.729%	7.999	58.81%	0.4572	0.627
SIM-00122	45	0.681	47.021	104.491%	6.412	74.039%	0.85608	0.519
SIM-00123	76	0.807	57.718	75.945%	7.692	59.345%	0.51144	0.682
SIM-00124	45	0.606	53.557	119.016%	6.97	80.483%	1.10196	0.38
SIM-00125	81	0.715	73.822	91.138%	9.306	69.948%	0.68273	0.452
SIM-00126	50	0.728	46.809	93.618%	6.236	69.721%	0.91508	0.568
SIM-00127	59	0.768	46.827	79.368%	6.178	64.063%	0.61544	0.575
SIM-00128	69	0.756	60.605	87.833%	7.626	65.634%	0.67279	0.577
SIM-00129	25	0.578	32.198	128.792%	5.103	81.713%	1.26922	0.452
SIM-00130	95	0.785	73.635	77.511%	9.466	62.014%	0.53479	0.598
SIM-00131	56	0.799	45.52	81.286%	5.965	60.256%	0.6177	0.68
SIM-00132	53	0.698	53.302	100.57%	7.102	72.11%	0.81268	0.525
SIM-00133	58	0.757	48.269	83.222%	6.754	66.228%	0.7369	0.608
SIM-00134	65	0.802	48.239	74.214%	6.729	60.186%	0.63855	0.677
SIM-00135	40	0.665	45.497	113.742%	6.288	76.253%	1.11376	0.529
SIM-00136	78	0.761	62.267	79.829%	8.157	66.162%	0.62809	0.557
SIM-00137	52	0.748	48.979	94.19%	7.081	70.81%	0.86769	0.649
SIM-00138	55	0.656	52.437	95.34%	6.965	75.546%	0.799	0.319
SIM-00139	50	0.675	52.273	104.546%	6.767	73.834%	0.86496	0.46
SIM-00140	54	0.77	48.271	89.391%	6.248	63.768%	0.73246	0.637
SIM-00141	49	0.63	51.916	105.951%	7.163	77.694%	0.91148	0.38
SIM-00142	35	0.608	43.763	125.037%	6.258	80.125%	1.12867	0.462
SIM-00143	51	0.731	46.275	90.735%	6.333	69.514%	0.84183	0.573
SIM-00144	64	0.775	51.488	80.45%	6.449	63.238%	0.56589	0.568
SIM-00145	28	0.749	28.641	102.289%	4.114	66.738%	1.15273	0.667
SIM-00146	74	0.811	57.868	78.2%	7.505	58.604%	0.60029	0.689
SIM-00147	75	0.723	66.861	89.148%	8.653	71.859%	0.79256	0.51
SIM-00148	42	0.767	38.725	92.202%	4.885	64.143%	0.74331	0.631
SIM-00149	49	0.763	44.492	90.8%	6.298	64.616%	0.78233	0.659
SIM-00150	68	0.732	61.535	90.493%	7.891	68.168%	0.68133	0.525
SIM-00151	47	0.636	50.948	108.4%	6.772	77.174%	0.92279	0.388
SIM-00152	77	0.702	72.956	94.748%	10.083	71.838%	0.81085	0.522
SIM-00153	33	0.743	34.76	105.333%	4.984	67.204%	1.05951	0.661
SIM-00154	63	0.736	56.112	89.067%	7.176	68.734%	0.72938	0.536
SIM-00155	46	0.685	46.564	101.226%	6.268	72.864%	0.83623	0.494
SIM-00156	80	0.719	68.462	85.578%	9.179	70.4%	0.684	0.484
SIM-00157	48	0.673	49.25	102.604%	6.196	74.056%	0.88647	0.414
SIM-00158	53	0.659	56.854	107.272%	7.913	75.793%	0.99746	0.486
SIM-00159	70	0.71	63.156	90.223%	8.269	70.39%	0.68313	0.462
SIM-00160	40	0.605	46.884	117.21%	6.152	80.78%	1.09284	0.373
SIM-00161	57	0.8	50.316	88.274%	6.546	60.007%	0.74418	0.705
SIM-00162	72	0.739	59.598	82.775%	7.33	67.478%	0.60412	0.416
SIM-00163	48	0.626	50.671	105.565%	6.865	78.747%	0.90815	0.368
SIM-00164	69	0.742	55.204	80.006%	6.953	67.217%	0.59144	0.417
SIM-00165	88	0.77	71.265	80.983%	9.167	66.857%	0.57641	0.586
SIM-00166	43	0.637	48.092	111.842%	5.951	77.475%	0.94328	0.368
SIM-00167	90	0.783	71.622	79.58%	9.413	62.339%	0.54209	0.624
SIM-00168	47	0.761	51.28	109.106%	6.928	65.173%	1.03633	0.687
SIM-00169	80	0.781	70.191	87.739%	10.149	68.425%	0.75785	0.693
SIM-00170	49	0.651	55.075	112.398%	7.548	77.441%	1.09111	0.49
SIM-00171	57	0.773	47.434	83.218%	5.953	63.823%	0.70329	0.59
SIM-00172	33	0.602	37.397	113.324%	5.221	81.538%	1.24443	0.389
SIM-00173	55	0.701	53.003	96.369%	7.201	73.115%	1.09044	0.526
SIM-00174	61	0.697	56.042	91.872%	7.418	71.713%	0.75477	0.444
SIM-00175	55	0.738	49.599	90.18%	6.534	67.754%	0.79589	0.563
SIM-00176	65	0.703	62.182	95.665%	8.079	71.132%	0.74835	0.485
SIM-00177	70	0.726	60.43	86.329%	7.956	68.729%	0.65364	0.487
SIM-00178	71	0.71	68.423	96.37%	8.991	70.423%	0.77993	0.521
SIM-00179	72	0.713	64.856	90.078%	8.498	70.33%	0.68964	0.477
SIM-00180	48	0.762	44.859	93.456%	5.725	64.823%	0.75731	0.628
SIM-00181	42	0.629	51.547	122.731%	6.864	78.735%	1.20902	0.467
SIM-00182	75	0.712	62.737	83.649%	8.454	70.207%	0.63801	0.42
SIM-00183	35	0.645	39.849	113.854%	5.364	78.242%	1.03774	0.475
SIM-00184	61	0.773	49.95	81.885%	6.67	63.887%	0.71504	0.621
SIM-00185	39	0.614	41.327	105.967%	6.199	79.37%	1.12095	0.41
SIM-00186	50	0.693	46.63	93.26%	7.069	72.911%	0.93834	0.542
SIM-00187	59	0.796	45.925	77.839%	6.359	61.475%	0.6327	0.676
SIM-00188	71	0.723	62.646	88.234%	8.524	70.305%	0.71243	0.532
SIM-00189	54	0.702	49.589	91.831%	6.62	71.385%	0.75888	0.473
SIM-00190	46	0.606	50.982	110.83%	7.292	79.562%	0.9954	0.378
SIM-00191	53	0.71	48.042	90.645%	6.657	70.564%	0.73713	0.513
SIM-00192	53	0.676	52.16	98.415%	7.273	73.846%	0.91966	0.476
SIM-00193	54	0.75	50.518	93.552%	6.743	66.121%	0.79001	0.619
SIM-00194	68	0.69	63.851	93.899%	8.32	72.416%	0.75089	0.421
SIM-00195	68	0.674	65.204	95.888%	9.256	74.107%	0.78615	0.466
SIM-00196	43	0.7	47.744	111.033%	6.496	72.178%	1.03342	0.582
SIM-00197	72	0.74	59.143	82.143%	8.411	67.342%	0.62919	0.555
SIM-00198	68	0.743	61.674	90.697%	8.246	66.884%	0.77659	0.588
SIM-00199	62	0.747	55.325	89.234%	7.281	68.193%	0.85045	0.589
SIM-00200	73	0.726	65.427	89.626%	8.687	68.892%	0.73393	0.529
SIM-00201	50	0.77	45.452	90.904%	5.725	64.823%	0.85875	0.636
SIM-00202	54	0.624	61.077	113.106%	7.967	78.123%	0.97376	0.373
SIM-00203	68	0.769	56.777	83.496%	7.298	65.016%	0.63631	0.599
SIM-00204	64	0.682	59.245	92.57%	7.476	73.308%	0.74179	0.322
SIM-00205	56	0.751	53.671	95.841%	6.847	66.504%	0.76858	0.615
SIM-00206	69	0.716	61.323	88.874%	8.13	70.496%	0.71513	0.494
SIM-00207	21	0.639	27.63	131.571%	4.418	76.908%	1.49591	0.559
SIM-00208	51	0.645	53.64	105.176%	6.901	76.678%	0.87687	0.368
SIM-00209	66	0.735	59.687	90.435%	7.612	68.916%	0.7649	0.542
SIM-00210	69	0.813	55.042	79.771%	7.431	58.204%	0.69621	0.717
SIM-00211	31	0.721	34.22	110.387%	4.756	69.373%	0.95894	0.626
SIM-00212	37	0.7	37.635	101.716%	5.298	71.438%	0.92828	0.558
SIM-00213	47	0.68	50.338	107.102%	6.97	75.6%	1.0856	0.538
SIM-00214	40	0.668	42.197	105.492%	5.617	75.06%	0.89596	0.474
SIM-00215	51	0.683	51.699	101.371%	7.199	73.86%	1.00533	0.517
SIM-00216	65	0.771	52.85	81.308%	6.785	63.828%	0.5948	0.583
SIM-00217	65	0.751	58.765	90.408%	7.743	66.641%	0.78584	0.602
SIM-00218	40	0.651	44.511	111.278%	6.175	77.188%	1.1324	0.49
SIM-00219	88	0.771	72.417	82.292%	9.155	63.786%	0.56895	0.582
SIM-00220	58	0.67	58.671	101.157%	7.786	74.921%	0.88123	0.45
SIM-00221	87	0.785	63.443	72.923%	8.007	61.96%	0.48562	0.523
SIM-00222	50	0.555	62.564	125.128%	9.186	83.166%	1.18336	0.348
SIM-00223	78	0.755	69.201	88.719%	8.767	65.711%	0.65721	0.58
SIM-00224	71	0.701	59.518	83.828%	7.879	72.227%	0.73932	0.367
SIM-00225	97	0.786	75.02	77.34%	9.723	62.118%	0.57045	0.607
SIM-00226	66	0.715	59.004	89.4%	7.095	70.251%	0.68551	0.373
SIM-00227	45	0.591	54.859	121.909%	7.694	80.655%	1.05969	0.392
SIM-00228	46	0.739	43.703	95.007%	5.551	67.316%	0.74185	0.574
SIM-00229	61	0.68	62.15	101.885%	8.396	74.502%	0.83855	0.497
SIM-00230	62	0.75	52.926	85.365%	6.698	66.32%	0.66608	0.536
SIM-00231	35	0.628	39.765	113.614%	5.534	79.057%	1.07335	0.45
SIM-00232	54	0.698	52.781	97.743%	7.383	71.71%	0.86261	0.532
SIM-00233	64	0.682	59.141	92.408%	7.949	73.176%	0.72357	0.402
SIM-00234	66	0.762	54.87	83.136%	7.597	67.149%	0.72073	0.619
SIM-00235	61	0.755	51.366	84.207%	6.772	67.384%	0.73813	0.58
SIM-00236	57	0.714	52.398	91.926%	6.74	70.654%	0.74648	0.49
SIM-00237	67	0.726	59.94	89.463%	8.119	69.877%	0.74809	0.547
SIM-00238	52	0.669	54.326	104.473%	7.08	74.63%	0.96295	0.451
SIM-00239	73	0.712	61.528	84.285%	8.269	70.647%	0.67971	0.435
SIM-00240	75	0.724	66.887	89.183%	8.251	68.998%	0.64148	0.443
SIM-00241	36	0.636	40.659	112.942%	5.683	77.336%	1.09041	0.458
SIM-00242	79	0.762	70.881	89.723%	8.962	66.614%	0.70304	0.611
SIM-00243	60	0.584	67.706	112.843%	8.997	85.014%	1.00551	0.313
SIM-00244	58	0.671	58.841	101.45%	7.45	74.5%	0.83296	0.411
SIM-00245	39	0.542	49.011	125.669%	6.633	84.927%	1.17135	0.273
SIM-00246	72	0.741	62.604	86.95%	8.474	68.285%	0.64824	0.571
SIM-00247	55	0.716	52.6	95.636%	6.789	70.399%	0.81136	0.525
SIM-00248	48	0.702	47.282	98.504%	6.001	71.726%	0.91423	0.491
SIM-00249	75	0.748	61.106	81.475%	8.042	66.329%	0.63369	0.519
SIM-00250	55	0.741	50.453	91.733%	6.12	67.176%	0.70277	0.524
SIM-00251	94	0.713	78.028	83.009%	10.694	70.823%	0.63204	0.449
SIM-00252	66	0.813	53.679	81.332%	7.389	58.415%	0.6581	0.726
SIM-00253	64	0.782	52.009	81.264%	7.354	62.601%	0.66742	0.663
SIM-00254	41	0.705	40.99	99.976%	5.366	71.074%	0.90422	0.528
SIM-00255	28	0.615	32.162	114.864%	4.638	81.989%	1.31927	0.45
SIM-00256	59	0.74	58.843	99.734%	7.845	67.519%	0.85585	0.62
SIM-00257	24	0.594	32.02	133.417%	4.994	81.013%	1.61374	0.487
SIM-00258	44	0.679	45.633	103.711%	6.261	73.787%	0.90983	0.509
SIM-00259	86	0.762	68.785	79.983%	9.046	65.627%	0.60302	0.562
SIM-00260	63	0.75	55.57	88.206%	7.339	66.718%	0.73366	0.589
SIM-00261	59	0.742	46.224	78.346%	6.586	69.811%	0.78176	0.545
SIM-00262	49	0.685	54.031	110.267%	6.876	72.885%	0.90983	0.512
SIM-00263	62	0.726	56.793	91.602%	7.081	68.777%	0.72459	0.49
SIM-00264	39	0.633	44.389	113.818%	6.013	79.644%	1.21161	0.452
SIM-00265	45	0.718	42.387	94.193%	5.306	70.28%	0.84391	0.499
SIM-00266	58	0.654	60.567	104.426%	8.049	76.744%	0.9125	0.432
SIM-00267	68	0.687	63.677	93.643%	7.796	73.016%	0.74554	0.327
SIM-00268	55	0.715	50.861	92.475%	6.724	70.487%	0.84669	0.515
SIM-00269	34	0.77	31.381	92.297%	4.428	63.913%	0.84727	0.677
SIM-00270	73	0.678	70.226	96.2%	8.955	74.885%	0.83922	0.404
SIM-00271	42	0.73	42.59	101.405%	5.721	68.379%	0.86144	0.606
SIM-00272	71	0.683	66.155	93.176%	9.141	81.113%	0.87919	0.472
SIM-00273	35	0.677	35.414	101.183%	5.466	73.704%	0.9451	0.544
SIM-00274	73	0.742	64.115	87.829%	8.463	67.116%	0.68747	0.558
SIM-00275	60	0.721	53.71	89.517%	7.792	69.974%	0.83776	0.569
SIM-00276	57	0.695	53.619	94.068%	7.161	72.709%	0.7793	0.476
SIM-00277	57	0.664	55.127	96.714%	7.116	76.292%	0.85325	0.372
SIM-00278	48	0.705	47.606	99.179%	6.017	71.917%	0.8268	0.505
SIM-00279	57	0.707	52.167	91.521%	7.181	71.454%	0.79792	0.515
SIM-00280	61	0.716	56.775	93.074%	7.442	70.008%	0.79906	0.516
SIM-00281	77	0.741	65.699	85.323%	8.159	67.294%	0.64913	0.478
SIM-00282	64	0.676	57.896	90.462%	7.62	74.012%	0.75374	0.337
SIM-00283	66	0.63	65.112	98.655%	8.253	78.689%	0.84558	0.213
SIM-00284	63	0.764	50.3	79.841%	6.618	64.585%	0.60513	0.561
SIM-00285	38	0.653	41.187	108.387%	5.135	75.711%	0.90602	0.386
SIM-00286	77	0.793	60.06	78.0%	7.516	61.573%	0.57618	0.617
SIM-00287	52	0.696	49.994	96.142%	7.034	72.55%	0.89083	0.528
SIM-00288	64	0.698	58.738	91.778%	7.216	72.16%	0.715	0.372
SIM-00289	80	0.699	73.994	92.492%	9.672	73.748%	0.69037	0.468
SIM-00290	66	0.762	55.836	84.6%	7.293	65.493%	0.75784	0.593
SIM-00291	84	0.735	70.631	84.085%	9.607	68.974%	0.65593	0.534
SIM-00292	64	0.725	62.859	98.217%	8.342	69.039%	0.7589	0.577
SIM-00293	65	0.724	59.863	92.097%	7.407	69.071%	0.7084	0.485
SIM-00294	53	0.755	46.976	88.634%	6.055	65.676%	0.77361	0.59
SIM-00295	49	0.625	52.971	108.104%	7.544	79.083%	1.00572	0.424
SIM-00296	59	0.708	55.844	94.651%	6.906	70.854%	0.76701	0.451
SIM-00297	64	0.742	58.416	91.275%	7.549	68.913%	0.75127	0.576
SIM-00298	66	0.793	56.09	84.985%	7.099	61.326%	0.60495	0.668
SIM-00299	32	0.585	38.998	121.869%	5.624	81.175%	1.21619	0.396
SIM-00300	47	0.657	51.256	109.055%	6.356	75.432%	0.92881	0.398
SIM-00301	66	0.691	63.913	96.838%	8.12	72.339%	0.82266	0.435
SIM-00302	48	0.699	48.476	100.992%	6.29	73.12%	0.92679	0.52
SIM-00303	86	0.74	68.847	80.055%	8.888	67.77%	0.59641	0.454
SIM-00304	85	0.75	69.609	81.893%	9.281	69.369%	0.62938	0.556
SIM-00305	86	0.684	81.649	94.941%	11.015	72.949%	0.75343	0.444
SIM-00306	71	0.774	58.839	82.872%	7.926	64.501%	0.62788	0.635
SIM-00307	79	0.704	74.349	94.113%	10.575	72.121%	0.78669	0.543
SIM-00308	70	0.722	61.023	87.176%	8.641	70.088%	0.85726	0.545
SIM-00309	64	0.728	63.125	98.633%	7.984	68.971%	0.80288	0.563
SIM-00310	68	0.699	59.828	87.982%	8.419	71.667%	0.72558	0.467
SIM-00311	53	0.744	48.292	91.117%	6.8	67.002%	0.8951	0.616
SIM-00312	63	0.752	55.226	87.66%	6.946	67.15%	0.69278	0.563
SIM-00313	95	0.73	78.631	82.769%	10.65	68.889%	0.61002	0.498
SIM-00314	49	0.657	50.349	102.753%	6.213	75.904%	0.89004	0.345
SIM-00315	61	0.674	56.785	93.09%	7.412	74.493%	0.77045	0.362
SIM-00316	61	0.811	50.117	82.159%	6.007	58.622%	0.61383	0.68
SIM-00317	68	0.71	59.649	87.719%	7.968	71.555%	0.66785	0.472
SIM-00318	74	0.821	54.721	73.947%	7.482	57.05%	0.51579	0.716
SIM-00319	49	0.666	54.323	110.863%	7.197	74.629%	0.99867	0.489
SIM-00320	57	0.73	52.359	91.858%	6.547	68.631%	0.77951	0.515
SIM-00321	61	0.626	64.168	105.193%	9.391	80.233%	1.0747	0.435
SIM-00322	60	0.743	54.663	91.105%	6.961	67.611%	0.7308	0.567
SIM-00323	54	0.703	50.521	93.557%	7.215	71.439%	0.90785	0.534
SIM-00324	76	0.756	61.932	81.489%	7.932	66.1%	0.61909	0.531
SIM-00325	69	0.732	60.596	87.82%	7.838	69.01%	0.7078	0.519
SIM-00326	57	0.716	56.2	98.596%	7.318	70.094%	0.89561	0.547
SIM-00327	59	0.67	60.934	103.278%	7.962	76.262%	0.92467	0.461
SIM-00328	53	0.678	54.315	102.481%	7.318	73.549%	0.86192	0.485
SIM-00329	20	0.637	24.529	122.645%	4.273	78.014%	1.30244	0.561
SIM-00330	55	0.72	58.108	105.651%	7.582	71.325%	0.94224	0.593
SIM-00331	60	0.639	60.343	100.572%	8.093	77.164%	0.89256	0.337
SIM-00332	65	0.751	55.445	85.3%	7.149	66.093%	0.68766	0.549
SIM-00333	69	0.731	58.894	85.354%	8.047	68.254%	0.64259	0.528
SIM-00334	68	0.665	67.051	98.604%	9.136	75.097%	0.82888	0.432
SIM-00335	61	0.752	53.35	87.459%	6.685	65.869%	0.69406	0.552
SIM-00336	63	0.683	58.518	92.886%	7.902	75.687%	0.8841	0.447
SIM-00337	90	0.801	67.772	75.302%	8.466	59.864%	0.52226	0.619
SIM-00338	72	0.72	67.689	94.012%	8.725	69.412%	0.74928	0.519
SIM-00339	82	0.78	62.717	76.484%	8.036	64.339%	0.62712	0.575
SIM-00340	44	0.698	46.134	104.85%	6.198	72.05%	0.93602	0.551
SIM-00341	61	0.64	62.183	101.939%	7.964	76.991%	0.82546	0.289
SIM-00342	43	0.64	48.63	113.093%	6.386	76.878%	0.94661	0.43
SIM-00343	28	0.646	34.267	122.382%	4.453	76.368%	1.12007	0.482
SIM-00344	72	0.866	50.157	69.662%	6.363	50.945%	0.53368	0.791
SIM-00345	77	0.816	62.266	80.865%	8.159	57.838%	0.59096	0.719
SIM-00346	63	0.774	53.258	84.537%	6.971	63.903%	0.73477	0.628
