Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SIM-01263	55	0.728	52.15	94.818%	6.467	68.55%	0.7663	0.524
SIM-01320	41	0.856	38.662	94.298%	5.255	52.815%	0.80897	0.825
SIM-01384	20	0.55	26.01	130.05%	4.168	85.079%	1.54914	0.416
SIM-01451	95	0.811	63.399	66.736%	8.264	58.582%	0.42584	0.593
SIM-01474	67	0.717	61.915	92.41%	8.23	71.906%	0.78171	0.534
SIM-01485	105	0.812	72.693	69.231%	9.212	58.379%	0.48233	0.607
SIM-01545	80	0.707	74.445	93.056%	10.249	71.757%	0.73909	0.526
SIM-01554	85	0.757	70.277	82.679%	9.029	65.332%	0.56342	0.544
SIM-01591	41	0.545	48.136	117.405%	6.75	85.042%	1.16092	0.26
SIM-01608	61	0.827	44.025	72.172%	5.915	56.655%	0.56978	0.717
SIM-01609	63	0.716	54.616	86.692%	7.119	70.146%	0.68694	0.447
SIM-01675	46	0.625	53.05	115.326%	7.001	78.274%	1.03776	0.407
SIM-01680	57	0.744	54.051	94.826%	6.801	67.012%	0.77776	0.582
SIM-01717	95	0.772	68.667	72.281%	9.026	63.984%	0.49855	0.505
SIM-01719	58	0.761	49.164	84.766%	6.293	64.907%	0.67682	0.575
SIM-01743	87	0.734	74.016	85.076%	9.856	68.175%	0.66123	0.52
SIM-01748	36	0.691	36.936	102.6%	4.811	72.529%	0.98373	0.503
SIM-01753	86	0.717	73.839	85.859%	10.345	71.387%	0.84064	0.519
SIM-01777	72	0.764	59.806	83.064%	7.548	65.205%	0.72229	0.567
SIM-01838	18	0.602	23.058	128.1%	3.778	80.547%	1.41463	0.504
SIM-01896	24	0.71	25.05	104.375%	3.883	70.894%	1.10811	0.619
SIM-01899	43	0.709	47.404	110.242%	6.474	71.933%	1.04667	0.599
SIM-01960	78	0.795	60.886	78.059%	8.436	61.201%	0.6828	0.674
SIM-01992	98	0.799	78.736	80.343%	9.997	60.394%	0.5762	0.662
SIM-01993	53	0.765	45.089	85.074%	6.555	65.225%	0.79098	0.651
SIM-02010	99	0.863	62.711	63.344%	8.123	50.868%	0.42291	0.764
SIM-02013	61	0.78	49.69	81.459%	6.271	64.339%	0.61565	0.612
SIM-02053	44	0.733	42.11	95.705%	5.811	68.483%	0.9274	0.602
SIM-02058	64	0.692	64.125	100.195%	8.109	72.241%	0.79809	0.464
SIM-02101	102	0.808	77.468	75.949%	10.71	59.5%	0.54309	0.696
SIM-02188	20	0.629	27.132	135.66%	3.967	77.799%	1.39671	0.53
SIM-02246	75	0.8	65.831	87.775%	8.227	61.151%	0.7141	0.693
SIM-02330	11	0.439	17.218	156.527%	2.986	90.031%	2.05691	0.302
SIM-02393	49	0.791	40.137	81.912%	5.648	61.261%	0.69344	0.685
SIM-02419	71	0.783	52.074	73.344%	7.019	63.288%	0.57077	0.593
SIM-02432	65	0.838	48.069	73.952%	6.208	56.436%	0.58161	0.743
SIM-02433	56	0.754	51.877	92.638%	7.778	65.736%	0.73957	0.661
SIM-02468	30	0.573	37.997	126.657%	5.367	82.815%	1.34028	0.39
SIM-02469	77	0.836	56.736	73.683%	7.717	55.263%	0.57641	0.75
SIM-02481	90	0.79	73.53	81.7%	10.02	62.871%	0.657	0.674
SIM-02483	73	0.802	60.507	82.886%	7.52	60.016%	0.62811	0.678
SIM-02537	27	0.784	30.284	112.163%	4.811	62.634%	1.31637	0.749
SIM-02568	94	0.653	88.998	94.679%	11.999	77.778%	0.74542	0.359
SIM-02609	105	0.848	65.915	62.776%	8.72	53.167%	0.4244	0.715
SIM-02617	43	0.684	49.353	114.774%	6.963	72.992%	1.01177	0.569
SIM-02623	34	0.643	35.329	103.909%	5.242	77.289%	1.10283	0.468
SIM-02633	92	0.765	66.572	72.361%	9.371	64.36%	0.53941	0.54
SIM-02644	88	0.78	69.194	78.63%	8.806	63.223%	0.61162	0.588
SIM-02652	110	0.827	74.966	68.151%	9.814	56.287%	0.46844	0.681
SIM-02682	31	0.648	36.773	118.623%	5.334	76.2%	1.14043	0.521
SIM-02723	87	0.774	69.636	80.041%	9.048	64.14%	0.6462	0.596
SIM-02767	63	0.787	54.232	86.083%	6.849	61.755%	0.68306	0.653
SIM-02792	33	0.694	35.844	108.618%	5.15	72.114%	1.0269	0.579
SIM-02800	55	0.753	52.686	95.793%	7.069	65.919%	0.77922	0.637
SIM-02873	23	0.711	23.893	103.883%	4.04	70.327%	0.96802	0.638
SIM-02898	30	0.727	32.543	108.477%	5.058	68.831%	1.22748	0.656
SIM-02910	82	0.755	67.992	82.917%	8.662	66.829%	0.66168	0.544
SIM-02931	29	0.657	32.303	111.39%	4.711	75.436%	1.02971	0.516
SIM-02936	53	0.766	46.798	88.298%	6.225	64.55%	0.76186	0.632
SIM-02944	41	0.623	46.736	113.99%	6.218	78.339%	1.02389	0.398
SIM-02968	25	0.682	27.708	110.832%	4.101	73.656%	1.22572	0.574
SIM-03018	23	0.753	24.255	105.457%	3.577	66.423%	1.06063	0.687
SIM-03040	57	0.73	50.722	88.986%	6.373	68.326%	0.70403	0.486
SIM-03044	20	0.67	26.14	130.7%	4.202	74.282%	1.37635	0.606
SIM-03068	48	0.717	44.496	92.7%	6.054	70.376%	0.83878	0.541
SIM-03080	18	0.529	25.242	140.233%	3.819	85.395%	1.59876	0.376
SIM-03084	62	0.779	54.379	87.708%	7.337	62.914%	0.70553	0.668
SIM-03116	68	0.753	61.918	91.056%	8.506	66.019%	0.70967	0.628
SIM-03120	61	0.715	57.664	94.531%	7.407	72.285%	0.82658	0.52
SIM-03139	34	0.817	29.061	85.474%	4.175	57.897%	0.84059	0.754
SIM-03160	76	0.745	66.417	87.391%	8.912	66.798%	0.68769	0.575
SIM-03217	78	0.831	56.211	72.065%	7.261	55.689%	0.53938	0.711
SIM-03291	95	0.83	63.516	66.859%	8.182	55.801%	0.4374	0.67
SIM-03341	48	0.773	39.61	82.521%	5.675	63.448%	0.74914	0.652
SIM-03357	17	0.564	21.365	125.676%	3.609	82.796%	1.46901	0.439
SIM-03376	12	0.73	15.439	128.658%	2.836	70.9%	1.25024	0.71
SIM-03377	71	0.733	61.537	86.672%	7.517	68.336%	0.67296	0.449
SIM-03416	67	0.732	62.26	92.925%	8.302	71.452%	0.81414	0.578
SIM-03426	106	0.825	73.425	69.269%	9.965	56.597%	0.45421	0.701
SIM-03441	83	0.86	52.526	63.284%	7.127	51.569%	0.49443	0.768
SIM-03446	89	0.759	67.506	75.849%	9.121	65.997%	0.55403	0.529
SIM-03453	83	0.804	61.378	73.949%	8.356	59.534%	0.57496	0.668
SIM-03479	60	0.731	54.964	91.607%	7.458	69.246%	0.84846	0.574
SIM-03546	13	0.624	16.673	128.254%	3.042	78.544%	1.86937	0.557
SIM-03587	99	0.767	77.467	78.249%	9.851	64.536%	0.56007	0.53
SIM-03644	27	0.723	28.703	106.307%	4.425	69.107%	1.18704	0.644
SIM-03649	12	0.41	20.271	168.925%	3.416	91.296%	2.05918	0.263
SIM-03667	57	0.709	53.436	93.747%	6.98	72.379%	0.76861	0.506
SIM-03682	111	0.783	79.257	71.403%	10.979	62.256%	0.4942	0.585
SIM-03692	79	0.785	66.767	84.515%	9.133	62.578%	0.70119	0.675
SIM-03728	34	0.695	33.458	98.406%	4.797	72.317%	1.04572	0.544
SIM-03743	51	0.686	49.755	97.559%	6.497	73.097%	0.88577	0.455
SIM-03830	47	0.666	47.09	100.191%	6.719	77.584%	1.07533	0.49
SIM-03834	54	0.754	47.244	87.489%	6.024	65.727%	0.69501	0.572
SIM-03859	98	0.765	78.658	80.263%	10.393	66.809%	0.57943	0.582
SIM-03889	36	0.649	40.357	112.103%	5.556	77.048%	1.15468	0.482
SIM-03907	27	0.729	32.592	120.711%	4.494	68.533%	1.17468	0.656
SIM-03919	97	0.776	78.23	80.649%	10.284	63.174%	0.60713	0.608
SIM-03935	55	0.741	47.685	86.7%	6.272	67.243%	0.6667	0.542
SIM-03943	59	0.84	44.861	76.036%	6.028	54.353%	0.61687	0.764
SIM-03961	22	0.614	28.075	127.614%	3.906	79.731%	1.38591	0.472
SIM-03979	109	0.829	77.111	70.744%	10.659	55.945%	0.45054	0.725
SIM-04037	84	0.835	63.483	75.575%	8.157	54.994%	0.55924	0.74
SIM-04044	40	0.65	44.035	110.087%	5.7	76.169%	0.95289	0.429
SIM-04050	71	0.72	57.239	80.618%	8.314	69.525%	0.66188	0.494
SIM-04080	78	0.728	66.942	85.823%	9.3	68.561%	0.66293	0.532
SIM-04081	85	0.694	77.629	91.328%	10.206	72.348%	0.71853	0.426
SIM-04126	23	0.613	31.264	135.93%	4.674	79.005%	1.43834	0.509
SIM-04188	47	0.648	49.295	104.883%	6.655	77.891%	0.92166	0.435
SIM-04195	50	0.765	45.566	91.132%	6.572	64.444%	0.87352	0.669
SIM-04196	69	0.708	60.217	87.271%	7.739	70.943%	0.69209	0.407
SIM-04207	89	0.82	64.487	72.457%	9.16	57.588%	0.53077	0.72
SIM-04276	24	0.669	28.007	116.696%	4.214	74.494%	1.26827	0.568
SIM-04323	76	0.772	64.192	84.463%	8.172	65.428%	0.66316	0.612
SIM-04362	43	0.578	50.968	118.53%	6.629	82.223%	1.09556	0.283
SIM-04365	105	0.834	65.112	62.011%	9.072	55.313%	0.36933	0.687
SIM-04384	93	0.746	73.7	79.247%	9.682	66.654%	0.63606	0.48
SIM-04418	97	0.801	66.635	68.696%	8.986	60.722%	0.4928	0.611
SIM-04468	67	0.779	55.055	82.172%	7.502	62.735%	0.60569	0.644
SIM-04472	55	0.834	37.158	67.56%	5.669	56.409%	0.65619	0.753
SIM-04479	67	0.75	52.017	77.637%	6.95	66.569%	0.64231	0.503
SIM-04506	77	0.756	67.325	87.435%	8.961	65.529%	0.72879	0.601
SIM-04518	61	0.688	64.776	106.19%	8.45	73.271%	0.99309	0.519
SIM-04535	30	0.55	38.655	128.85%	5.149	83.528%	1.21892	0.278
SIM-04569	67	0.795	54.183	80.87%	7.459	60.7%	0.67354	0.683
SIM-04574	43	0.729	41.816	97.247%	6.244	68.537%	0.80675	0.625
SIM-04636	95	0.771	71.059	74.799%	9.303	63.743%	0.50809	0.522
SIM-04697	65	0.763	56.107	86.318%	8.117	65.622%	0.75424	0.651
SIM-04716	60	0.65	59.864	99.773%	7.917	76.897%	0.86247	0.37
SIM-04721	67	0.782	59.584	88.931%	8.057	62.724%	0.77422	0.679
SIM-04771	75	0.772	64.466	85.955%	8.172	63.619%	0.65129	0.61
SIM-04838	61	0.611	65.968	108.144%	9.191	79.696%	0.87423	0.364
SIM-04846	23	0.626	28.044	121.93%	4.569	82.062%	1.74115	0.532
SIM-04859	58	0.726	53.273	91.85%	7.029	68.925%	0.73256	0.541
SIM-04904	23	0.654	29.262	127.226%	4.349	75.706%	1.35886	0.561
SIM-04930	24	0.454	35.334	147.225%	5.116	90.439%	1.69809	0.23
SIM-04958	65	0.697	58.425	89.885%	7.974	72.491%	0.83415	0.464
SIM-05016	103	0.76	79.291	76.982%	10.149	65.106%	0.56212	0.478
SIM-05057	91	0.79	65.413	71.882%	8.535	61.436%	0.49771	0.574
SIM-05105	22	0.617	27.768	126.218%	3.86	78.792%	1.29329	0.466
SIM-05109	22	0.451	32.081	145.823%	4.766	90.069%	1.64029	0.223
SIM-05120	99	0.808	71.859	72.585%	9.667	61.51%	0.60803	0.669
SIM-05183	85	0.794	61.327	72.149%	8.801	60.878%	0.52078	0.65
SIM-05184	18	0.583	21.046	116.922%	3.539	83.415%	1.60498	0.456
SIM-05187	97	0.798	70.47	72.649%	9.323	60.305%	0.53233	0.62
SIM-05217	27	0.745	28.555	105.759%	3.952	66.801%	1.07925	0.658
SIM-05225	98	0.779	70.713	72.156%	10.009	63.557%	0.57154	0.6
SIM-05247	56	0.778	44.577	79.602%	5.9	62.894%	0.62776	0.613
SIM-05276	34	0.623	40.947	120.432%	5.531	78.22%	1.06582	0.442
SIM-05287	89	0.817	59.399	66.74%	7.42	57.765%	0.45439	0.582
SIM-05292	35	0.759	32.684	93.383%	4.687	65.631%	0.93983	0.664
SIM-05316	43	0.635	51.016	118.642%	6.974	78.464%	1.11209	0.477
SIM-05340	88	0.723	76.937	87.428%	10.72	71.308%	0.65004	0.545
SIM-05344	40	0.645	43.868	109.67%	5.842	76.709%	1.00426	0.433
SIM-05410	51	0.7	49.299	96.665%	6.546	71.852%	0.93783	0.505
SIM-05411	27	0.551	36.452	135.007%	5.391	84.193%	1.55869	0.396
SIM-05425	77	0.799	57.625	74.838%	7.72	60.468%	0.56114	0.651
SIM-05475	18	0.524	25.699	142.772%	4.183	85.385%	1.69573	0.398
SIM-05573	17	0.557	22.649	133.229%	3.814	83.228%	1.7728	0.445
SIM-05687	90	0.793	71.477	79.419%	9.389	62.18%	0.59964	0.654
SIM-05710	62	0.808	48.625	78.427%	6.287	58.883%	0.60612	0.682
SIM-05713	78	0.781	59.783	76.645%	8.416	62.729%	0.62728	0.636
SIM-05740	34	0.639	43.062	126.653%	5.664	77.077%	1.12828	0.493
SIM-05747	77	0.753	67.384	87.512%	9.108	67.328%	0.68951	0.608
SIM-05822	23	0.539	30.458	132.426%	4.303	86.06%	1.55406	0.348
SIM-05824	24	0.577	28.837	120.154%	5.422	81.74%	1.28967	0.477
SIM-05854	34	0.722	34.504	101.482%	5.356	69.146%	0.95212	0.634
SIM-05874	59	0.728	53.3	90.339%	7.124	69.523%	0.81284	0.549
SIM-05880	27	0.733	27.325	101.204%	4.777	68.243%	1.00471	0.674
SIM-05882	101	0.801	72.889	72.167%	9.759	59.949%	0.49448	0.635
SIM-05883	47	0.661	48.232	102.621%	6.906	75.803%	0.92638	0.486
SIM-05891	106	0.796	76.569	72.235%	9.986	61.46%	0.46978	0.604
SIM-05895	76	0.83	57.186	75.245%	7.382	55.963%	0.55428	0.727
SIM-05928	15	0.534	22.472	149.813%	3.688	84.609%	1.79242	0.43
SIM-05979	79	0.79	65.32	82.684%	8.127	61.434%	0.65581	0.636
SIM-06016	57	0.707	54.796	96.133%	7.1	71.358%	0.82037	0.504
SIM-06071	98	0.773	75.343	76.881%	10.535	63.644%	0.59439	0.609
SIM-06077	85	0.843	56.134	66.04%	7.594	54.948%	0.49222	0.733
SIM-06083	52	0.797	47.769	91.863%	6.216	60.375%	0.75634	0.71
SIM-06115	33	0.624	37.518	113.691%	5.385	78.548%	1.13975	0.45
SIM-06167	67	0.754	57.595	85.963%	8.445	65.744%	0.74782	0.631
SIM-06168	41	0.664	42.485	103.622%	5.977	75.303%	0.92126	0.487
SIM-06192	60	0.756	52.317	87.195%	6.41	65.422%	0.67893	0.546
SIM-06226	5	0.384	8.398	167.96%	2.066	92.394%	2.63003	0.318
SIM-06257	91	0.775	73.011	80.232%	8.916	63.204%	0.54065	0.543
SIM-06305	55	0.808	46.521	84.584%	5.751	59.004%	0.66343	0.693
SIM-06322	67	0.77	56.934	84.976%	7.24	64.245%	0.71874	0.605
SIM-06338	96	0.808	67.967	70.799%	8.752	59.55%	0.50658	0.626
SIM-06355	50	0.761	46.124	92.248%	6.158	64.911%	0.77546	0.64
SIM-06367	32	0.674	35.987	112.459%	5.252	74.274%	1.14386	0.558
SIM-06373	51	0.701	45.807	89.818%	6.462	71.8%	0.83593	0.497
SIM-06398	83	0.781	72.375	87.199%	9.918	64.698%	0.65132	0.679
SIM-06425	69	0.834	54.852	79.496%	7.085	55.157%	0.63701	0.752
SIM-06443	101	0.868	63.512	62.883%	8.238	50.416%	0.44749	0.776
SIM-06460	90	0.771	75.488	83.876%	9.19	63.721%	0.59058	0.567
SIM-06482	32	0.623	37.422	116.944%	5.87	78.441%	1.19122	0.496
SIM-06524	106	0.869	62.685	59.137%	8.387	49.593%	0.38951	0.765
SIM-06529	56	0.819	51.67	92.268%	7.575	57.426%	0.78474	0.771
SIM-06575	49	0.717	46.887	95.688%	6.874	69.795%	0.8361	0.588
SIM-06713	95	0.822	67.647	71.207%	9.31	57.408%	0.56432	0.707
SIM-06731	72	0.773	62.383	86.643%	7.964	63.763%	0.65231	0.626
SIM-06735	80	0.767	68.852	86.065%	9.187	65.959%	0.63816	0.629
SIM-06802	45	0.753	42.234	93.853%	5.545	65.807%	0.74313	0.621
SIM-06840	79	0.734	66.339	83.973%	8.788	68.004%	0.65819	0.5
SIM-06850	112	0.832	76.658	68.445%	9.673	55.478%	0.43023	0.678
SIM-06856	70	0.793	62.693	89.561%	7.828	61.126%	0.71328	0.682
SIM-06871	13	0.446	19.697	151.515%	3.481	89.879%	1.82547	0.314
SIM-06884	16	0.609	20.786	129.913%	3.389	79.879%	1.53997	0.516
SIM-06926	72	0.727	62.908	87.372%	8.809	70.081%	0.71903	0.555
SIM-06945	92	0.794	69.504	75.548%	8.863	61.161%	0.55622	0.612
SIM-06956	33	0.572	40.332	122.218%	5.672	82.735%	1.25586	0.362
SIM-06963	98	0.827	66.829	68.193%	8.12	56.302%	0.44713	0.629
SIM-06975	32	0.725	31.335	97.922%	5.084	70.502%	1.12035	0.643
SIM-06981	82	0.713	70.611	86.111%	9.604	71.584%	0.66194	0.481
SIM-07043	66	0.739	60.017	90.935%	8.04	67.47%	0.7731	0.58
SIM-07081	34	0.538	42.495	124.985%	5.423	85.745%	1.26851	0.202
SIM-07096	72	0.778	59.545	82.701%	7.845	62.81%	0.63923	0.63
SIM-07105	33	0.657	37.651	114.094%	5.166	75.354%	1.07966	0.502
SIM-07108	70	0.729	59.385	84.836%	7.978	68.919%	0.7137	0.505
SIM-07117	73	0.724	59.12	80.986%	7.659	69.059%	0.61931	0.378
SIM-07154	79	0.799	60.664	76.79%	7.979	60.316%	0.57304	0.653
SIM-07194	41	0.688	41.286	100.698%	5.683	72.763%	0.93188	0.515
SIM-07197	86	0.841	64.141	74.583%	8.492	54.364%	0.53548	0.759
SIM-07201	34	0.632	39.622	116.535%	5.603	77.7%	1.20585	0.472
SIM-07206	97	0.76	78.791	81.228%	11.42	65.824%	0.66695	0.621
SIM-07208	49	0.63	54.302	110.82%	6.739	77.815%	0.97801	0.325
SIM-07255	31	0.632	35.048	113.058%	5.436	77.657%	1.12043	0.497
SIM-07265	101	0.768	81.615	80.807%	10.193	64.083%	0.57282	0.545
SIM-07279	45	0.664	49.088	109.084%	6.617	75.408%	0.99178	0.49
SIM-07280	29	0.662	33.2	114.483%	4.923	75.075%	1.12143	0.543
SIM-07295	27	0.652	31.714	117.459%	4.252	76.368%	1.20112	0.496
SIM-07297	91	0.817	63.719	70.021%	8.493	57.922%	0.52528	0.672
SIM-07364	111	0.795	83.773	75.471%	10.744	60.729%	0.53148	0.614
SIM-07386	50	0.686	49.079	98.158%	6.981	72.782%	0.88154	0.511
SIM-07444	53	0.721	51.928	97.977%	6.692	69.393%	0.8126	0.548
SIM-07485	76	0.709	64.694	85.124%	9.146	70.563%	0.65553	0.474
SIM-07498	41	0.8	35.397	86.334%	4.684	59.972%	0.77552	0.704
SIM-07506	46	0.504	57.962	126.004%	8.243	88.887%	1.35186	0.24
SIM-07507	38	0.646	44.825	117.961%	5.897	77.431%	1.16058	0.48
SIM-07540	23	0.74	28.493	123.883%	4.097	67.354%	1.24509	0.685
SIM-07541	76	0.736	65.434	86.097%	9.291	67.762%	0.64849	0.571
SIM-07561	24	0.647	30.712	127.967%	4.706	76.341%	1.32524	0.558
SIM-07574	51	0.657	49.524	97.106%	6.418	76.168%	0.88524	0.339
SIM-07580	64	0.79	50.419	78.78%	6.773	61.829%	0.66828	0.651
SIM-07586	68	0.715	55.889	82.19%	7.523	71.086%	0.67705	0.43
SIM-07629	87	0.825	60.785	69.868%	7.984	56.597%	0.50014	0.686
SIM-07683	64	0.789	54.38	84.969%	6.947	61.403%	0.67115	0.66
SIM-07724	59	0.734	60.314	102.227%	8.04	68.194%	0.91616	0.616
SIM-07748	96	0.801	66.088	68.842%	8.761	60.457%	0.4786	0.598
SIM-07758	68	0.795	59.583	87.622%	7.396	60.795%	0.67993	0.676
SIM-07788	45	0.691	46.823	104.051%	6.322	75.028%	1.1276	0.539
SIM-07804	77	0.742	65.688	85.309%	8.621	67.943%	0.65569	0.541
SIM-07921	73	0.79	59.698	81.778%	8.268	63.227%	0.72047	0.681
SIM-08029	77	0.714	69.222	89.899%	8.494	70.057%	0.64543	0.403
SIM-08057	98	0.813	68.995	70.403%	9.215	58.753%	0.4975	0.664
SIM-08060	89	0.788	66.274	74.465%	8.794	62.028%	0.55059	0.606
SIM-08113	35	0.707	36.16	103.314%	5.399	71.512%	1.1178	0.603
SIM-08195	24	0.646	29.258	121.908%	4.066	76.84%	1.21403	0.514
SIM-08205	73	0.771	60.357	82.681%	7.884	64.588%	0.6245	0.608
SIM-08217	39	0.729	38.98	99.949%	5.084	68.553%	0.86246	0.587
SIM-08231	46	0.587	52.678	114.517%	6.415	81.471%	0.98557	0.163
SIM-08247	43	0.672	47.573	110.635%	6.666	74.067%	0.89479	0.529
SIM-08320	66	0.737	63.014	95.476%	9.277	67.659%	0.80983	0.632
SIM-08338	86	0.762	74.979	87.185%	9.678	66.785%	0.71212	0.608
SIM-08352	97	0.82	66.177	68.224%	8.418	57.41%	0.44524	0.636
SIM-08362	95	0.783	75.09	79.042%	9.868	63.831%	0.58996	0.627
SIM-08392	86	0.758	76.27	88.686%	9.726	65.873%	0.70969	0.595
SIM-08414	91	0.743	78.57	86.341%	9.875	68.307%	0.68021	0.524
SIM-08427	77	0.814	62.734	81.473%	8.238	58.106%	0.6053	0.716
SIM-08434	85	0.748	72.994	85.875%	10.127	66.631%	0.65516	0.592
SIM-08456	29	0.689	32.922	113.524%	4.287	72.464%	1.03306	0.548
SIM-08474	103	0.836	68.58	66.583%	8.531	54.953%	0.4264	0.667
SIM-08518	68	0.701	63.125	92.831%	8.805	72.871%	0.85679	0.519
SIM-08590	42	0.577	52.15	124.167%	7.262	82.226%	1.3207	0.374
SIM-08594	25	0.61	32.836	131.344%	4.968	79.552%	1.34824	0.501
SIM-08606	86	0.825	60.921	70.838%	7.873	56.818%	0.45085	0.688
SIM-08756	66	0.716	63.42	96.091%	8.197	69.777%	0.73689	0.524
SIM-08790	67	0.747	58.543	87.378%	7.558	67.601%	0.68664	0.565
SIM-08834	21	0.429	32.234	153.495%	4.363	90.975%	1.6502	0.115
SIM-08859	90	0.769	70.369	78.188%	9.46	64.071%	0.65754	0.579
SIM-08869	33	0.73	34.256	103.806%	5.253	68.388%	1.05302	0.649
SIM-08879	85	0.69	78.577	92.444%	10.375	75.071%	0.7201	0.446
SIM-08889	79	0.759	73.4	92.911%	9.905	65.17%	0.73667	0.64
SIM-08932	82	0.7	63.573	77.528%	8.87	71.945%	0.5901	0.311
SIM-08967	36	0.633	39.889	110.803%	5.647	79.861%	1.24081	0.462
SIM-09016	24	0.633	32.381	134.921%	4.815	78.11%	1.22939	0.552
SIM-09051	29	0.601	36.21	124.862%	4.947	83.62%	1.2224	0.438
SIM-09100	57	0.711	59.838	104.979%	8.319	71.599%	1.01971	0.594
SIM-09129	90	0.849	58.94	65.489%	7.597	53.19%	0.43674	0.727
SIM-09131	63	0.841	40.778	64.727%	6.258	54.676%	0.54143	0.76
SIM-09162	48	0.588	54.413	113.36%	7.34	82.064%	1.1053	0.32
SIM-09170	78	0.742	65.933	84.529%	8.965	67.963%	0.67096	0.558
SIM-09198	36	0.681	41.453	115.147%	5.964	73.412%	1.14181	0.573
SIM-09265	97	0.811	67.575	69.665%	8.949	58.627%	0.49315	0.644
SIM-09295	42	0.728	40.515	96.464%	5.655	68.577%	0.93041	0.598
SIM-09310	99	0.799	70.29	71.0%	9.548	60.508%	0.53271	0.63
SIM-09381	32	0.589	38.643	120.759%	5.839	80.972%	1.25544	0.427
SIM-09461	98	0.783	68.856	70.261%	8.947	62.337%	0.47539	0.505
SIM-09467	32	0.7	33.062	103.319%	5.163	71.598%	1.05754	0.6
SIM-09558	59	0.724	56.95	96.525%	7.693	69.365%	0.77037	0.583
SIM-09569	24	0.694	27.091	112.879%	3.812	72.04%	1.07466	0.585
SIM-09573	96	0.804	71.531	74.511%	9.269	61.118%	0.54372	0.65
SIM-09626	31	0.744	31.046	100.148%	4.278	66.811%	0.97251	0.64
SIM-09642	54	0.71	50.961	94.372%	7.08	70.8%	0.82632	0.542
SIM-09683	44	0.712	45.128	102.564%	6.021	70.958%	0.96302	0.572
SIM-09700	62	0.639	65.24	105.226%	8.648	77.661%	0.95533	0.387
SIM-09714	93	0.756	78.767	84.696%	9.874	65.827%	0.62642	0.543
SIM-09722	40	0.596	44.724	111.81%	6.655	80.704%	1.08024	0.393
SIM-09737	29	0.701	33.503	115.528%	4.586	71.621%	1.0888	0.601
SIM-09756	90	0.763	62.928	69.92%	8.789	64.793%	0.50922	0.488
SIM-09772	30	0.718	30.579	101.93%	5.027	69.712%	1.05232	0.64
SIM-09781	54	0.693	49.793	92.209%	6.964	72.605%	0.84841	0.486
SIM-09870	76	0.69	69.592	91.568%	9.741	73.426%	0.71548	0.477
SIM-09883	44	0.677	45.814	104.123%	6.446	73.941%	1.04853	0.52
SIM-09931	78	0.783	66.296	84.995%	8.65	62.426%	0.64353	0.655
SIM-09975	36	0.715	38.439	106.775%	5.338	70.091%	1.13856	0.603
SIM-10004	54	0.74	61.887	114.606%	8.357	67.343%	0.99387	0.662
